frames,reward,dist
5000,0.0000,9.1285
10000,0.0000,14.1147
15000,0.0000,14.1264
20000,0.0000,14.0642
25000,0.0000,14.1481
30000,0.0000,14.1519
35000,0.0000,14.1506
40000,0.0000,14.1510
45000,0.0000,14.1479
50000,0.0000,14.1473
55000,0.0000,14.1461
60000,0.0000,14.1497
65000,0.0000,14.1493
70000,0.0000,14.1509
75000,0.0000,14.1138
80000,0.0000,14.1550
85000,0.0000,14.1489
90000,0.0000,14.1440
95000,0.0000,14.1534
100000,0.0000,14.1522
105000,0.0000,14.1617
110000,0.0000,14.1427
115000,0.0000,10.9221
120000,0.0000,9.7855
125000,0.0000,14.0737
130000,0.0000,11.5627
135000,0.0000,14.1182
140000,0.0000,13.1365
145000,0.0000,13.4911
150000,0.0000,14.0881
155000,0.0000,13.4382
160000,0.0000,14.0958
165000,0.0000,13.6251
170000,0.0000,14.0656
175000,0.0000,14.0910
180000,0.0000,13.6350
185000,0.0000,8.4440
190000,0.0000,13.7097
195000,0.0000,12.5153
200000,0.0000,14.1005
205000,0.0000,14.0795
210000,0.0000,12.3236
215000,0.0000,11.9328
220000,0.0000,12.2567
225000,0.0000,7.0387
230000,0.0000,7.2221
235000,0.0000,12.0071
240000,0.0000,9.4745
245000,0.0000,6.9074
250000,0.0000,12.4233
255000,0.0000,11.3856
260000,0.0000,9.4415
265000,0.0000,12.2110
270000,0.0000,13.3857
275000,0.0000,13.7260
280000,0.0000,11.7453
285000,0.0000,13.1199
290000,0.0000,14.0743
295000,0.0000,10.8949
300000,0.0000,6.6610
305000,0.0000,9.1226
310000,0.0000,11.5725
315000,0.0000,12.7807
320000,0.0000,8.7574
325000,0.0000,11.0693
330000,0.0000,13.2509
335000,0.0000,11.2618
340000,0.0000,11.1809
345000,0.0000,11.1298
350000,0.0000,7.2549
355000,0.0000,13.6565
360000,0.0000,9.2596
365000,0.0000,12.1501
370000,0.0000,12.0939
375000,0.0000,12.8453
380000,0.0000,13.1307
385000,0.0000,12.1655
390000,0.0000,12.6757
395000,0.0000,13.2381
400000,0.0000,10.9152
405000,0.0000,12.0852
410000,0.0000,11.3483
415000,0.0000,11.9899
420000,0.0000,12.3273
425000,0.0000,12.7439
430000,0.0000,12.4224
435000,0.0000,11.6764
440000,0.0000,11.6133
445000,0.0000,11.3272
450000,0.0000,12.7987
455000,0.0000,13.0349
460000,0.0000,11.9894
465000,0.0000,11.9680
470000,0.0000,13.0216
475000,0.0000,12.6943
480000,0.0000,12.3542
485000,0.0000,13.2957
490000,0.0000,10.9288
495000,0.0000,11.8039
500000,0.0000,10.6866
505000,0.0000,10.5045
510000,0.0000,11.7514
515000,0.0000,11.0599
520000,0.0000,12.5667
525000,0.0000,12.3732
530000,0.0000,12.0789
535000,0.0000,10.5387
540000,0.0000,9.9067
545000,0.0000,12.2110
550000,0.0000,8.8086
555000,0.0000,10.3246
560000,0.0000,10.4291
565000,0.0000,7.0285
570000,0.0000,10.0883
575000,0.0000,9.9578
580000,0.0000,11.0882
585000,0.0000,11.5612
590000,0.0000,11.6403
595000,0.0000,9.2170
600000,0.0000,10.7550
605000,0.0000,9.9752
610000,0.0000,10.6012
615000,0.0000,10.2069
620000,0.0000,11.1912
625000,0.0000,10.7305
630000,0.0000,10.8320
635000,0.0000,10.3810
640000,0.0000,10.0807
645000,0.0000,9.5787
650000,0.0000,11.3927
655000,0.0000,11.7491
660000,0.0000,11.7765
665000,0.0000,10.9899
670000,0.0000,11.2365
675000,0.0000,11.7880
680000,0.0000,11.9304
685000,0.0000,10.2469
690000,0.0000,10.9775
695000,0.0000,11.4519
700000,0.0000,11.2155
705000,0.0000,10.1186
710000,0.0000,10.6189
715000,0.0000,10.7262
720000,0.0000,10.9150
725000,0.0000,10.9528
730000,0.0000,10.8064
735000,0.0000,10.8112
740000,0.0000,11.3673
745000,0.0000,9.0961
750000,0.0000,10.8046
755000,0.0000,11.0606
760000,0.0000,10.7347
765000,0.0000,11.0310
770000,0.0000,10.5379
775000,0.0000,11.5402
780000,0.0000,11.1121
785000,0.0000,10.4882
790000,0.0000,10.9606
795000,0.0000,11.1440
800000,0.0000,11.5958
805000,0.0000,11.0561
810000,0.0000,10.4950
815000,0.0000,11.1324
820000,0.0000,11.6475
825000,0.0000,11.1304
830000,0.0000,10.4907
835000,0.0000,10.6430
840000,0.0000,11.1443
845000,0.0000,11.5028
850000,0.0000,9.3848
855000,0.0000,10.4957
860000,0.0000,11.6863
865000,0.0000,10.7598
870000,0.0000,11.3583
875000,0.0000,12.2598
880000,0.0000,10.7004
885000,0.0000,10.8747
890000,0.0000,10.9527
895000,0.0000,11.1165
900000,0.0000,11.8960
905000,0.0000,10.5486
910000,0.0000,11.8177
915000,0.0000,10.2548
920000,0.0000,12.2629
925000,0.0000,11.1675
930000,0.0000,11.2064
935000,0.0000,10.5874
940000,0.0000,10.8336
945000,0.0000,12.1155
950000,0.0000,9.9950
955000,0.0000,10.9144
960000,0.0000,9.6141
965000,0.0000,10.3075
970000,0.0000,10.8946
975000,0.0000,9.4721
980000,0.0000,9.9188
985000,0.0000,10.5861
990000,0.0000,10.6391
995000,0.0000,10.7709
1000000,0.0000,10.1508
1005000,0.0000,10.1754
1010000,0.0000,10.1608
1015000,0.2000,10.1822
1020000,0.0000,11.4293
1025000,0.0000,12.0578
1030000,0.0000,9.8383
1035000,0.0000,10.3849
