frames,reward,dist
5000,0.0000,11.9065
10000,0.0000,11.5897
15000,0.0000,11.0611
20000,0.0000,11.2564
25000,0.0000,12.9495
30000,0.0000,12.0373
35000,0.0000,12.0506
40000,0.0000,6.9811
45000,0.0000,7.7149
50000,0.0000,8.9687
55000,0.0000,0.8304
60000,0.0000,1.2599
65000,0.0000,1.2635
70000,0.0000,1.3125
75000,0.0000,1.6824
80000,0.0000,2.0509
85000,0.0000,1.5226
90000,0.0000,1.4173
95000,0.0000,1.0267
100000,0.0000,1.2977
105000,0.0000,0.7010
110000,0.0000,1.3411
115000,0.0000,1.4648
120000,0.0000,1.4836
125000,0.0000,1.1318
130000,0.0000,1.2865
135000,0.0000,1.3706
140000,0.0000,1.2439
145000,0.0000,1.0329
150000,0.0000,1.1500
155000,0.0000,0.9505
160000,0.0000,1.1994
165000,0.0000,1.1678
170000,0.0000,1.0322
175000,0.0000,1.2309
180000,0.0000,1.3154
185000,0.0000,1.3479
190000,0.0000,1.2850
195000,0.0000,1.2385
200000,0.0000,1.2484
205000,0.0000,1.2421
210000,0.0000,1.0185
215000,0.0000,1.2048
220000,0.0000,1.5122
225000,0.0000,1.8231
230000,0.0000,1.6783
235000,0.0000,1.6208
240000,0.0000,1.2236
245000,0.0000,1.5083
250000,0.0000,1.1649
255000,0.0000,1.0236
260000,0.0000,0.7887
265000,0.0000,0.9560
270000,0.0000,0.7584
275000,0.0000,0.8053
280000,0.0000,0.7535
285000,0.0000,0.8097
290000,0.0000,0.8975
295000,0.0000,1.0545
300000,0.0000,1.0478
305000,0.0000,1.1375
310000,0.0000,1.0262
315000,0.0000,0.8977
320000,0.0000,1.0754
325000,0.0000,1.0711
330000,0.0000,1.3627
335000,0.0000,1.4093
340000,0.0000,1.2737
345000,0.0000,1.6067
350000,0.0000,1.3819
355000,0.0000,1.6915
360000,0.0000,1.5027
365000,0.0000,1.4504
370000,0.0000,1.5921
375000,0.0000,1.6059
380000,0.0000,1.4566
385000,0.0000,1.3634
390000,0.0000,1.8101
395000,0.0000,1.5258
400000,0.0000,1.6845
405000,0.0000,1.3771
410000,0.0000,1.2350
415000,0.0000,1.2201
420000,0.0000,1.5398
425000,0.0000,1.1434
430000,0.0000,1.3800
435000,0.0000,1.5915
440000,0.0000,1.2096
445000,0.0000,1.0504
450000,0.0000,1.3357
455000,0.0000,1.1820
460000,0.0000,1.5518
465000,0.0000,1.0377
470000,0.0000,1.6764
475000,0.0000,1.1200
480000,0.0000,1.1376
485000,0.0000,1.1900
490000,0.0000,1.3638
495000,0.0000,1.5985
500000,0.0000,1.3342
505000,0.0000,1.2074
510000,0.0000,1.0452
515000,0.0000,1.1600
520000,0.0000,1.4052
525000,0.0000,1.2539
530000,0.0000,1.4753
535000,0.0000,1.3421
540000,0.0000,1.4539
545000,0.0000,1.2385
550000,0.0000,1.1013
555000,0.0000,1.3014
560000,0.0000,1.2961
565000,0.0000,1.2992
570000,0.0000,1.5459
575000,0.0000,1.2070
580000,0.0000,1.4955
585000,0.0000,1.9503
590000,0.0000,1.6354
595000,0.0000,1.7880
600000,0.0000,1.8688
605000,0.0000,1.6840
610000,0.0000,1.4280
615000,0.0000,1.3849
620000,0.0000,1.4158
625000,0.0000,1.1224
630000,0.0000,1.4175
635000,0.0000,1.5606
640000,0.0000,1.4056
645000,0.0000,1.6249
650000,0.0000,1.5033
655000,0.0000,1.3676
660000,0.0000,1.6567
665000,0.0000,1.6739
670000,0.0000,1.4275
675000,0.0000,1.7174
680000,0.0000,1.5171
685000,0.0000,1.7233
690000,0.0000,1.4924
695000,0.0000,1.4697
700000,0.0000,1.4880
705000,0.0000,1.6237
710000,0.0000,1.6178
715000,0.0000,1.4148
720000,0.0000,1.7910
725000,0.0000,1.5883
730000,0.0000,1.6028
735000,0.0000,1.4305
740000,0.0000,1.6446
745000,0.0000,1.6996
750000,0.0000,1.4673
755000,0.0000,1.4956
760000,0.0000,1.3541
765000,0.0000,1.4947
770000,0.0000,1.4792
775000,0.0000,1.5332
780000,0.0000,1.5400
785000,0.0000,1.4136
790000,0.0000,1.4539
795000,0.0000,1.8606
800000,0.0000,1.2436
805000,0.0000,1.6558
810000,0.0000,1.5408
815000,0.0000,1.6866
820000,0.0000,1.9540
825000,0.0000,1.6380
830000,0.0000,1.3318
835000,0.0000,1.6704
840000,0.0000,1.4724
845000,0.0000,1.5919
850000,0.0000,1.6500
855000,0.0000,1.8274
860000,0.0000,1.2773
865000,0.0000,1.7895
870000,0.0000,1.7229
875000,0.0000,1.5450
880000,0.0000,1.5351
885000,0.0000,1.8284
890000,0.0000,1.6532
895000,0.0000,1.7069
900000,0.0000,1.7379
905000,0.0000,1.6697
910000,0.0000,1.7193
915000,0.0000,1.6655
920000,0.0000,1.7613
925000,0.0000,1.6544
930000,0.0000,1.8198
935000,0.0000,1.6269
940000,0.0000,1.5753
945000,0.0000,1.5373
950000,0.0000,1.6003
955000,0.0000,1.5499
960000,0.0000,1.4930
965000,0.0000,1.5345
970000,0.0000,1.6318
975000,0.0000,1.4875
980000,0.0000,1.4905
985000,0.0000,1.5279
990000,0.0000,1.4963
995000,0.0000,1.6701
1000000,0.0000,1.4531
1005000,0.0000,1.6306
1010000,0.0000,1.9120
1015000,0.0000,1.6645
1020000,0.0000,1.6398
1025000,0.0000,1.6300
1030000,0.0000,1.6272
1035000,0.0000,1.4713
1040000,0.0000,1.7827
1045000,0.0000,1.6727
1050000,0.0000,1.6523
1055000,0.0000,1.8033
1060000,0.0000,1.6384
1065000,0.0000,1.7357
1070000,0.0000,1.4980
1075000,0.0000,1.5741
1080000,0.0000,1.8770
1085000,0.0000,1.5795
1090000,0.0000,1.4650
1095000,0.0000,1.7198
1100000,0.0000,1.4143
1105000,0.0000,1.6697
1110000,0.0000,1.5586
1115000,0.0000,1.2635
1120000,0.0000,1.5398
1125000,0.0000,1.8188
1130000,0.0000,1.4921
1135000,0.0000,1.3581
1140000,0.0000,1.6236
1145000,0.0000,1.4704
1150000,0.0000,1.7676
1155000,0.0000,1.4974
1160000,0.0000,1.2911
1165000,0.0000,1.4684
1170000,0.0000,1.5474
1175000,0.0000,1.3770
1180000,0.0000,1.5958
1185000,0.0000,1.6794
1190000,0.0000,1.4790
1195000,0.0000,1.6656
1200000,0.0000,1.3045
1205000,0.0000,1.4648
1210000,0.0000,1.7129
1215000,0.0000,1.5824
1220000,0.0000,1.7331
1225000,0.0000,1.5369
