frames,reward,dist
5000,0.0000,9.1285
10000,0.0000,14.1147
15000,0.0000,14.1264
20000,0.0000,14.0642
25000,0.0000,14.1481
30000,0.0000,14.1519
35000,0.0000,14.1506
40000,0.0000,14.1510
45000,0.0000,14.1479
50000,0.0000,14.1473
55000,0.0000,14.1461
60000,0.0000,14.1497
65000,0.0000,14.1493
70000,0.0000,14.1509
75000,0.0000,14.1138
80000,0.0000,14.1550
85000,0.0000,14.1489
90000,0.0000,14.1440
95000,0.0000,14.1534
100000,0.0000,14.1522
105000,0.0000,14.1617
110000,0.0000,14.1427
115000,0.0000,10.9221
120000,0.0000,9.7855
125000,0.0000,14.0737
130000,0.0000,11.5627
135000,0.0000,14.1182
140000,0.0000,13.1365
145000,0.0000,13.4911
150000,0.0000,14.0881
155000,0.0000,13.4382
160000,0.0000,14.0958
165000,0.0000,13.6251
170000,0.0000,14.0656
175000,0.0000,14.0910
180000,0.0000,13.6350
185000,0.0000,8.4440
190000,0.0000,13.7097
195000,0.0000,12.5153
200000,0.0000,14.1005
205000,0.0000,14.0795
210000,0.0000,12.3236
215000,0.0000,11.9328
220000,0.0000,12.2567
225000,0.0000,7.0387
230000,0.0000,7.2221
235000,0.0000,12.0071
240000,0.0000,9.4745
245000,0.0000,6.9074
250000,0.0000,12.4233
255000,0.0000,11.3856
260000,0.0000,9.4415
265000,0.0000,12.2110
270000,0.0000,13.3857
275000,0.0000,13.7260
280000,0.0000,11.7453
285000,0.0000,13.1199
290000,0.0000,14.0743
295000,0.0000,10.8949
300000,0.0000,6.6610
305000,0.0000,9.1226
310000,0.0000,11.5725
315000,0.0000,12.7807
320000,0.0000,8.7574
325000,0.0000,11.0693
330000,0.0000,13.2509
335000,0.0000,11.2618
340000,0.0000,11.1809
345000,0.0000,11.1298
350000,0.0000,7.2549
355000,0.0000,13.6565
360000,0.0000,9.2596
365000,0.0000,12.1501
370000,0.0000,12.0939
375000,0.0000,11.8626
380000,0.0000,12.0684
385000,0.0000,12.5368
390000,0.0000,12.8870
395000,0.0000,12.2587
400000,0.0000,13.0776
405000,0.0000,12.5836
410000,0.0000,13.4668
415000,0.0000,12.2704
420000,0.0000,11.9144
425000,0.0000,12.7744
430000,0.0000,13.1691
435000,0.0000,12.3370
440000,0.0000,12.0731
445000,0.0000,12.7491
450000,0.0000,13.1360
455000,0.0000,11.4505
460000,0.0000,11.6420
465000,0.0000,12.0866
470000,0.0000,11.3521
475000,0.0000,10.6379
480000,0.0000,11.5851
485000,0.0000,11.2443
490000,0.0000,12.3126
495000,0.0000,13.0856
500000,0.0000,10.9663
505000,0.0000,11.0604
510000,0.0000,10.9614
515000,0.0000,11.6307
520000,0.0000,11.5925
525000,0.0000,11.6544
530000,0.0000,11.9203
535000,0.0000,12.7607
540000,0.0000,12.6286
545000,0.0000,10.8515
550000,0.0000,11.5153
555000,0.0000,11.4363
560000,0.0000,11.6680
565000,0.0000,13.0138
570000,0.0000,12.0427
575000,0.0000,13.5869
580000,0.4000,12.7502
585000,0.0000,12.8012
590000,0.0000,11.7890
595000,0.0000,11.8017
600000,0.0000,11.6274
605000,0.0000,11.3918
610000,0.0000,12.2636
615000,0.0000,12.8440
620000,0.0000,12.2893
625000,0.0000,11.7307
630000,0.0000,12.0234
635000,0.0000,13.7586
640000,0.0000,12.5999
645000,0.0000,12.2615
650000,0.0000,10.1178
655000,0.0000,13.2120
660000,0.0000,10.9885
665000,0.0000,13.2162
670000,0.0000,12.9490
675000,0.0000,12.8895
680000,0.0000,12.1134
685000,0.0000,12.0820
690000,0.0000,11.6297
695000,0.0000,13.4741
700000,0.0000,11.3884
705000,0.0000,10.2624
710000,0.0000,12.4832
715000,0.0000,12.4253
720000,0.0000,12.7612
725000,0.0000,13.2529
730000,0.0000,12.4617
735000,0.0000,11.3290
740000,0.0000,12.2544
745000,0.0000,12.2627
750000,0.0000,10.7898
755000,0.0000,11.8143
760000,0.0000,11.9986
765000,0.0000,11.7629
770000,0.0000,12.3933
775000,0.0000,12.8285
780000,0.0000,12.2640
785000,0.0000,12.1464
790000,0.0000,11.9393
795000,0.0000,11.5159
800000,0.0000,11.2624
805000,0.0000,11.6915
810000,0.0000,12.5680
815000,0.0000,12.5227
820000,0.0000,12.6621
825000,0.0000,11.0532
830000,0.0000,12.2218
835000,0.0000,12.0578
840000,0.0000,13.1071
845000,0.0000,11.8205
850000,0.0000,12.7976
855000,0.0000,12.5380
860000,0.0000,10.6101
865000,0.0000,11.5966
870000,0.0000,11.5011
875000,0.0000,11.4079
880000,0.0000,12.2733
885000,0.0000,11.6793
890000,0.0000,12.0642
895000,0.0000,12.4793
900000,0.0000,12.0804
905000,0.0000,12.3653
910000,0.0000,12.1250
915000,0.0000,11.8498
920000,0.0000,11.5881
925000,0.0000,12.0914
930000,0.0000,12.6280
935000,0.0000,10.8548
940000,0.0000,12.3075
945000,0.2000,11.8851
950000,0.0000,12.7417
955000,0.0000,11.8046
960000,0.0000,12.9685
965000,0.0000,12.0835
970000,0.0000,11.5684
975000,0.0000,11.3730
980000,0.0000,10.7957
985000,0.0000,10.7875
990000,0.0000,10.3806
995000,0.0000,11.8046
1000000,0.0000,12.2696
1005000,0.2000,11.1366
1010000,0.0000,12.0260
1015000,0.2000,13.0879
1020000,0.2000,11.0750
1025000,0.0000,12.4309
1030000,0.0000,10.6261
1035000,0.0000,11.5297
