frames,reward,dist
5000,0.0000,8.0853
10000,0.0000,6.5570
15000,0.0000,10.2827
20000,0.0000,12.1308
25000,0.0000,11.3383
30000,0.0000,11.2759
35000,0.0000,11.7229
40000,0.0000,11.9070
45000,0.0000,15.4062
50000,0.0000,11.4754
55000,0.0000,11.8338
60000,0.0000,11.9709
65000,0.0000,10.8045
70000,0.0000,13.0986
75000,0.0000,12.9894
80000,0.0000,12.7189
85000,0.0000,13.2533
90000,0.0000,13.6956
95000,0.0000,12.8373
100000,0.0000,12.6853
105000,0.0000,14.1832
110000,0.0000,12.7181
115000,0.0000,12.2958
120000,0.0000,13.4589
125000,0.0000,11.4184
130000,0.0000,11.0705
135000,0.0000,10.7390
140000,0.0000,10.0721
145000,0.0000,10.9351
150000,0.0000,10.9097
155000,0.0000,11.1862
160000,0.0000,10.2794
165000,0.0000,11.2808
170000,0.0000,9.5914
175000,0.0000,11.9538
180000,0.0000,12.5532
185000,0.0000,7.9183
190000,0.0000,9.9916
195000,0.0000,12.2815
200000,0.0000,11.2375
205000,0.0000,11.7333
210000,0.0000,11.9770
215000,0.0000,11.6279
220000,0.0000,11.3384
225000,0.0000,8.5255
230000,0.0000,9.2650
235000,0.0000,8.6365
240000,0.0000,9.2405
245000,0.0000,8.5934
250000,0.0000,9.5358
255000,0.0000,8.8872
260000,0.0000,8.6753
265000,0.0000,6.9707
270000,0.0000,10.6056
275000,0.0000,10.2378
280000,0.0000,10.3694
285000,0.0000,7.9729
290000,0.0000,11.3768
295000,0.0000,10.3707
300000,0.0000,8.6180
305000,0.0000,8.3829
310000,0.0000,9.4793
315000,0.0000,10.8376
320000,0.0000,10.4265
325000,0.0000,8.8450
330000,0.0000,9.6168
335000,0.0000,11.3103
340000,0.0000,11.5353
345000,0.0000,13.4043
350000,0.0000,11.7004
355000,0.0000,11.9785
360000,0.0000,9.1295
365000,0.0000,12.2413
370000,0.0000,10.3018
375000,0.0000,10.9459
380000,0.0000,11.8932
385000,0.0000,12.0504
390000,0.0000,11.5560
395000,0.0000,10.2732
400000,0.0000,11.7843
405000,0.0000,12.6823
410000,0.0000,8.6972
415000,0.0000,12.0357
420000,0.0000,11.6782
425000,0.0000,13.2417
430000,0.0000,11.5984
435000,0.0000,10.4883
440000,0.0000,13.3483
445000,0.0000,13.8681
450000,0.0000,11.2729
455000,0.0000,13.2196
460000,0.0000,11.4424
465000,0.0000,10.6250
470000,0.0000,11.6235
475000,0.0000,13.4455
480000,0.0000,11.1712
485000,0.0000,12.4442
490000,0.0000,11.6958
495000,0.0000,13.7093
500000,0.0000,10.4894
505000,0.0000,10.9809
510000,0.0000,10.8152
515000,0.0000,11.8719
520000,0.0000,11.3750
525000,0.0000,11.3670
530000,0.0000,11.1362
535000,0.0000,9.9007
540000,0.0000,8.8924
545000,0.0000,11.3524
550000,0.0000,8.7073
555000,0.0000,8.0681
560000,0.0000,9.4809
565000,0.0000,10.2834
570000,0.0000,10.7295
575000,0.0000,9.9382
580000,0.0000,9.5828
585000,0.0000,11.6043
590000,0.0000,10.4019
595000,0.0000,10.4639
600000,0.0000,10.9831
605000,0.0000,11.8146
610000,0.0000,12.1100
615000,0.0000,9.8135
620000,0.0000,11.1265
625000,0.0000,10.9798
630000,0.0000,13.2352
635000,0.0000,11.5327
640000,0.0000,12.2528
645000,0.0000,10.5732
650000,0.0000,11.9837
655000,0.0000,11.3096
660000,0.0000,12.0492
665000,0.0000,11.6476
670000,0.0000,8.3373
675000,0.0000,11.9227
680000,0.0000,11.6926
685000,0.0000,11.3138
690000,0.0000,10.8809
695000,0.0000,10.3335
700000,0.0000,10.9618
705000,0.0000,11.3771
710000,0.0000,8.7401
715000,0.0000,10.8710
720000,0.0000,10.5732
725000,0.0000,10.7311
730000,0.0000,11.6622
735000,0.0000,8.6806
740000,0.0000,9.5141
745000,0.0000,10.2273
750000,0.0000,10.4565
755000,0.0000,11.1237
760000,0.0000,9.8968
765000,0.0000,10.1991
770000,0.0000,10.2150
775000,0.0000,10.1867
780000,0.0000,12.6111
785000,0.0000,11.5422
790000,0.0000,12.3312
795000,0.0000,10.8772
800000,0.0000,11.7518
805000,0.0000,11.5971
810000,0.0000,11.3798
815000,0.0000,11.5930
820000,0.0000,10.8546
825000,0.0000,9.9412
830000,0.0000,11.0961
835000,0.0000,9.9505
840000,0.0000,12.1420
845000,0.0000,11.8341
850000,0.0000,11.5007
855000,0.0000,11.2481
860000,0.0000,11.6564
865000,0.0000,10.1039
870000,0.0000,11.4688
875000,0.0000,11.2482
880000,0.0000,11.2414
885000,0.0000,11.9992
890000,0.0000,12.6940
895000,0.0000,11.3297
900000,0.0000,12.1101
905000,0.0000,11.9767
910000,0.0000,11.8791
915000,0.0000,11.0035
920000,0.0000,12.0532
925000,0.0000,10.7840
930000,0.0000,10.5192
935000,0.0000,9.2672
940000,0.0000,10.0868
945000,0.0000,9.8452
950000,0.0000,10.0224
955000,0.0000,10.7960
960000,0.0000,10.3236
965000,0.0000,10.6443
970000,0.0000,10.6498
975000,0.0000,10.3269
980000,0.0000,9.9200
985000,0.0000,10.0892
990000,0.0000,10.7402
995000,0.0000,8.9323
1000000,0.0000,9.8950
1005000,0.0000,9.5684
1010000,0.0000,10.0271
1015000,0.0000,11.0879
1020000,0.0000,9.0412
1025000,0.0000,9.3001
1030000,0.0000,9.4341
1035000,0.0000,10.5110
1040000,0.0000,11.4032
1045000,0.0000,9.7205
1050000,0.0000,10.0089
1055000,0.0000,10.2023
1060000,0.0000,8.7147
1065000,0.0000,10.2265
1070000,0.0000,10.3312
1075000,0.0000,8.9315
1080000,0.0000,10.3158
1085000,0.0000,10.4266
1090000,0.0000,11.5058
1095000,0.0000,10.8033
1100000,0.0000,10.4200
1105000,0.0000,10.6440
1110000,0.0000,11.5915
1115000,0.0000,10.7342
1120000,0.0000,10.4805
1125000,0.0000,9.6774
1130000,0.0000,8.9141
1135000,0.0000,10.2413
1140000,0.0000,8.9666
1145000,0.0000,9.3800
1150000,0.0000,10.2675
1155000,0.0000,9.9678
1160000,0.0000,9.5970
1165000,0.0000,10.2062
1170000,0.0000,9.3619
1175000,0.0000,10.1907
1180000,0.0000,10.2192
1185000,0.0000,9.7831
1190000,0.0000,9.7597
1195000,0.0000,9.6337
1200000,0.0000,10.0143
1205000,0.0000,10.4209
1210000,0.0000,9.7816
1215000,0.0000,10.1476
1220000,0.0000,10.1648
1225000,0.0000,9.2799
1230000,0.0000,9.4403
1235000,0.0000,10.3049
1240000,0.0000,9.6771
