frames,reward,dist
5000,0.0000,8.8523
10000,0.0000,8.9042
15000,0.0000,4.5990
20000,0.0000,5.6527
25000,0.0000,7.4700
30000,0.0000,8.0287
35000,0.0000,7.6813
40000,0.0000,7.5561
45000,0.0000,9.6380
50000,0.0000,6.8589
55000,0.0000,2.5906
60000,0.0000,2.3274
65000,0.0000,3.1168
70000,0.0000,2.0221
75000,0.0000,2.1446
80000,0.0000,2.6069
85000,0.0000,4.2519
90000,0.0000,1.9662
95000,0.0000,1.5575
100000,0.0000,3.3111
105000,0.0000,0.7158
110000,0.0000,1.5314
115000,0.0000,1.4628
120000,0.0000,1.8669
125000,0.0000,0.8195
130000,0.0000,1.1221
135000,0.0000,1.0874
140000,0.0000,0.9228
145000,0.0000,0.7063
150000,0.0000,0.4169
155000,0.0000,0.8342
160000,0.0000,0.3813
165000,0.0000,0.5982
170000,0.0000,0.6429
175000,0.0000,0.6382
180000,0.0000,0.2965
185000,0.0000,0.6762
190000,0.0000,0.4291
195000,0.0000,0.3704
200000,0.0000,0.2661
205000,0.0000,0.4646
210000,0.0000,0.5371
215000,0.0000,0.8713
220000,0.0000,0.5081
225000,0.0000,0.6660
230000,0.0000,0.5404
235000,0.0000,0.3031
240000,0.0000,0.2940
245000,0.0000,0.3062
250000,0.0000,0.3665
255000,0.0000,0.4340
260000,0.0000,0.3886
265000,0.0000,0.2770
270000,0.0000,0.3517
275000,0.0000,0.9072
280000,0.0000,0.4008
285000,0.0000,0.2940
290000,0.0000,0.3260
295000,0.0000,0.7518
300000,0.0000,0.6816
305000,0.0000,0.9396
310000,0.0000,0.6898
315000,0.0000,0.9084
320000,0.0000,0.6358
325000,0.0000,0.8943
330000,0.0000,0.2531
335000,0.0000,0.4786
340000,0.0000,0.4911
345000,0.0000,0.7069
350000,0.0000,1.1263
355000,0.0000,0.7267
360000,0.0000,0.4980
365000,0.0000,0.8990
370000,0.0000,0.5802
375000,0.0000,0.9034
380000,0.0000,0.7873
385000,0.0000,0.9242
390000,0.0000,0.4416
395000,0.0000,0.7708
400000,0.0000,0.8588
405000,0.0000,0.9271
410000,0.0000,1.1694
415000,0.0000,1.0423
420000,0.0000,0.8338
425000,0.0000,1.0081
430000,0.0000,0.8961
435000,0.0000,1.0628
440000,0.0000,0.8526
445000,0.0000,0.9922
450000,0.0000,0.9390
455000,0.0000,0.8040
460000,0.0000,0.7979
465000,0.0000,0.8712
470000,0.0000,0.7863
475000,0.0000,1.0275
480000,0.0000,0.9379
485000,0.0000,1.1007
490000,0.0000,1.0375
495000,0.0000,0.9833
500000,0.0000,1.0279
505000,0.0000,1.0326
510000,0.0000,1.0441
515000,0.0000,1.1322
520000,0.0000,0.9676
525000,0.0000,1.0898
530000,0.0000,1.1382
535000,0.0000,0.9877
540000,0.0000,1.0691
545000,0.0000,0.9781
550000,0.0000,1.0695
555000,0.0000,0.9707
560000,0.0000,1.1211
565000,0.0000,1.1897
570000,0.0000,1.0490
575000,0.0000,0.9443
580000,0.0000,1.1255
585000,0.0000,1.0648
590000,0.0000,1.2328
595000,0.0000,1.1264
600000,0.0000,1.4269
605000,0.0000,1.1593
610000,0.0000,1.2396
615000,0.0000,1.1690
620000,0.0000,1.3819
625000,0.0000,1.2893
630000,0.0000,1.1613
635000,0.0000,1.1839
640000,0.0000,1.2164
645000,0.0000,1.1912
650000,0.0000,1.2294
655000,0.0000,1.5034
660000,0.0000,1.1352
665000,0.0000,1.2905
670000,0.0000,1.2218
675000,0.6000,1.2999
680000,0.8000,1.3158
685000,0.0000,1.3643
690000,0.8000,1.2830
695000,0.0000,1.3242
700000,0.2000,1.3202
705000,0.0000,1.4392
710000,0.0000,1.4310
715000,0.0000,1.2829
720000,0.0000,1.2913
725000,0.2000,1.4855
730000,0.0000,1.4510
735000,0.0000,1.3388
740000,0.0000,1.3977
745000,0.0000,1.3436
750000,0.2000,1.3349
755000,0.2000,1.4882
760000,0.2000,1.4591
765000,0.4000,1.3149
770000,0.0000,1.4428
775000,0.0000,1.5696
780000,0.0000,1.5058
785000,0.0000,1.5744
790000,0.0000,1.3702
795000,0.0000,1.4434
800000,0.0000,1.3478
805000,0.0000,1.5182
810000,0.0000,1.6370
815000,0.0000,1.6618
820000,0.0000,1.4773
825000,0.0000,1.8751
830000,0.0000,1.6169
835000,0.0000,1.4438
840000,0.0000,1.5692
845000,0.0000,1.5920
850000,0.0000,1.3210
855000,0.0000,1.4762
860000,0.0000,1.6531
865000,0.0000,1.4607
870000,0.0000,1.5262
875000,0.0000,1.4159
880000,0.0000,1.4949
885000,0.0000,1.6616
890000,0.0000,1.4597
895000,0.0000,1.3481
900000,0.0000,1.5141
905000,0.0000,1.3186
910000,0.6000,1.3334
915000,1.0000,1.2370
920000,0.0000,1.2422
925000,0.6000,1.5059
930000,0.6000,1.5766
935000,0.6000,1.4327
940000,0.4000,1.4992
945000,0.4000,1.4475
950000,1.0000,1.5401
955000,0.6000,1.1628
960000,0.6000,1.3988
965000,0.2000,1.7544
970000,0.4000,1.6440
975000,0.4000,1.5089
980000,0.4000,1.5664
985000,0.8000,1.6002
990000,0.8000,1.6010
995000,0.6000,1.6215
1000000,0.4000,1.5619
1005000,0.0000,2.0505
1010000,0.8000,1.4714
1015000,0.6000,1.6652
1020000,1.0000,1.5182
1025000,0.0000,2.1264
1030000,0.0000,1.4087
1035000,0.0000,1.5462
1040000,0.6000,1.7827
1045000,0.2000,1.5484
1050000,0.2000,1.6596
1055000,0.4000,1.6085
1060000,0.2000,1.7224
1065000,0.6000,1.4849
1070000,1.0000,1.5848
1075000,0.6000,1.7259
1080000,0.8000,1.4677
1085000,0.2000,1.6929
1090000,0.2000,1.7577
1095000,1.0000,1.5274
1100000,1.0000,1.5724
1105000,0.8000,1.6718
1110000,0.8000,1.7123
1115000,0.4000,1.3573
1120000,1.0000,1.5419
1125000,0.8000,1.6327
1130000,0.6000,1.3783
1135000,0.6000,1.5766
1140000,1.0000,1.6199
1145000,0.6000,1.6939
1150000,1.0000,1.5900
1155000,0.8000,1.7267
1160000,1.0000,1.6364
1165000,0.8000,1.6942
1170000,0.6000,1.5448
1175000,0.8000,1.6570
1180000,1.0000,1.6969
1185000,0.8000,1.8648
1190000,0.8000,1.6221
1195000,0.6000,1.6499
1200000,1.0000,1.6032
1205000,0.8000,1.4733
1210000,0.4000,1.7876
1215000,0.6000,1.4771
1220000,0.8000,1.5664
1225000,0.6000,1.5035
1230000,0.8000,1.3396
1235000,0.4000,1.8009
1240000,0.4000,1.5733
1245000,0.4000,1.5495
1250000,0.6000,1.4630
1255000,0.6000,1.5190
1260000,0.8000,1.5095
1265000,0.8000,1.4732
1270000,1.0000,1.5505
1275000,0.4000,1.6651
1280000,0.6000,1.7250
1285000,0.4000,1.5526
1290000,0.6000,1.6006
1295000,0.8000,1.5676
1300000,0.8000,1.5957
1305000,0.4000,1.6997
1310000,0.2000,1.6404
1315000,0.6000,1.5507
1320000,0.4000,1.8410
1325000,0.8000,1.6496
1330000,0.4000,1.8236
1335000,0.4000,1.6412
1340000,0.2000,1.6937
1345000,0.8000,1.5989
1350000,1.0000,1.5580
1355000,0.8000,1.4520
1360000,0.4000,1.6438
1365000,0.6000,1.7828
1370000,0.4000,1.4927
1375000,0.6000,1.5580
1380000,0.4000,1.5426
1385000,1.0000,1.6775
1390000,0.0000,1.8424
1395000,0.6000,1.5243
1400000,0.4000,1.8769
1405000,0.4000,1.6759
1410000,0.6000,1.7014
1415000,0.4000,1.7215
1420000,0.4000,1.8547
1425000,0.6000,1.7274
1430000,0.4000,1.7381
1435000,0.4000,1.7006
1440000,0.2000,1.6280
1445000,0.8000,1.5583
1450000,0.8000,1.4612
1455000,0.4000,1.8578
1460000,0.0000,1.7774
1465000,0.6000,1.5878
1470000,0.2000,1.5401
1475000,0.6000,1.6514
1480000,0.6000,1.7593
1485000,0.4000,1.7484
1490000,0.8000,1.6875
1495000,0.6000,1.7457
1500000,0.6000,1.7047
1505000,0.2000,1.6738
1510000,0.6000,1.5891
1515000,0.8000,1.5994
1520000,0.6000,1.6580
1525000,0.4000,1.5808
1530000,0.0000,1.8358
1535000,0.8000,1.6600
1540000,0.0000,1.8767
1545000,0.2000,1.7579
1550000,0.4000,1.8793
1555000,0.8000,1.6690
1560000,0.4000,1.8026
1565000,0.6000,1.5702
1570000,0.4000,1.5763
1575000,0.6000,1.6959
1580000,0.6000,1.7711
1585000,0.2000,1.7844
1590000,0.4000,1.6139
1595000,0.8000,1.6172
1600000,0.6000,1.6526
1605000,0.4000,1.3721
1610000,0.6000,1.8046
1615000,0.6000,1.4129
1620000,0.8000,1.5661
1625000,0.4000,1.4067
1630000,0.8000,1.5885
1635000,0.8000,1.4168
1640000,0.6000,1.6321
1645000,0.2000,1.6037
1650000,0.6000,1.8492
1655000,1.0000,1.6283
1660000,1.0000,1.6060
1665000,0.6000,1.7301
1670000,0.6000,1.4850
1675000,0.8000,1.6282
1680000,0.6000,1.6119
1685000,0.6000,1.5360
1690000,0.6000,1.6296
1695000,0.8000,1.5173
1700000,0.4000,1.5723
1705000,1.0000,1.8030
1710000,0.4000,1.6814
1715000,0.8000,1.6021
1720000,0.8000,1.5173
1725000,0.6000,1.7572
1730000,1.0000,1.8309
1735000,0.6000,1.4659
1740000,1.0000,1.7777
1745000,1.0000,1.6858
1750000,0.2000,1.6515
1755000,0.8000,2.0112
1760000,0.6000,1.6525
1765000,0.8000,1.7562
1770000,0.8000,1.8174
1775000,0.6000,1.8648
1780000,1.0000,1.7602
1785000,0.6000,1.8070
1790000,0.8000,1.7839
1795000,1.0000,1.8690
1800000,0.4000,1.7173
1805000,0.8000,1.8263
1810000,0.4000,1.6659
1815000,0.4000,1.6488
1820000,0.8000,1.6810
1825000,0.4000,1.8051
1830000,0.8000,1.8910
1835000,0.4000,1.5402
1840000,1.0000,1.7525
1845000,0.8000,1.6946
1850000,0.2000,1.7457
1855000,0.6000,1.6998
1860000,0.6000,1.7284
1865000,1.0000,1.7610
1870000,0.4000,1.6342
1875000,0.6000,1.5833
1880000,0.4000,1.9145
1885000,0.2000,1.8590
1890000,1.0000,1.8318
1895000,0.4000,1.8174
1900000,0.8000,1.5671
1905000,0.8000,1.8690
1910000,0.6000,1.6669
1915000,1.0000,1.7723
1920000,0.6000,1.8057
1925000,0.8000,1.7684
1930000,0.2000,1.5377
1935000,0.6000,1.6412
1940000,0.6000,1.8319
1945000,0.8000,1.7004
1950000,0.6000,1.7877
