frames,reward,dist
5000,0.0000,7.2908
10000,0.0000,13.8342
15000,0.0000,5.7789
20000,0.0000,13.9906
25000,0.0000,14.0353
30000,0.0000,14.0149
35000,0.0000,14.0355
40000,0.0000,14.0962
45000,0.0000,14.0870
50000,0.0000,14.1323
55000,0.0000,4.8120
60000,0.0000,14.1188
65000,0.0000,14.0918
70000,0.0000,10.8612
75000,0.0000,14.1067
80000,0.0000,10.3036
85000,0.0000,10.1832
90000,0.0000,14.0817
95000,0.0000,12.5627
100000,0.0000,14.1389
105000,0.0000,8.3187
110000,0.0000,13.4154
115000,0.0000,8.2718
120000,0.0000,12.1978
125000,0.0000,12.7880
130000,0.0000,8.7446
135000,0.0000,10.2640
140000,0.0000,9.6159
145000,0.0000,9.3642
150000,0.0000,11.3978
155000,0.0000,12.9356
160000,0.0000,9.4339
165000,0.0000,11.8303
170000,0.0000,6.5776
175000,0.0000,10.4302
180000,0.0000,9.6067
185000,0.0000,7.7955
190000,0.0000,10.5134
195000,0.0000,10.4373
200000,0.0000,9.4031
205000,0.0000,9.4419
210000,0.0000,12.6089
215000,0.0000,8.8123
220000,0.0000,9.9193
225000,0.0000,10.5084
230000,0.0000,8.5675
235000,0.0000,8.1036
240000,0.0000,12.2222
245000,0.0000,6.2166
250000,0.0000,7.2762
255000,0.0000,8.1164
260000,0.0000,10.7431
265000,0.0000,10.8258
270000,0.0000,10.6932
275000,0.0000,9.4653
280000,0.0000,10.8609
285000,0.0000,11.4522
290000,0.0000,10.6092
295000,0.0000,10.7584
300000,0.0000,10.9568
305000,0.0000,9.6564
310000,0.0000,11.6110
315000,0.0000,11.6583
320000,0.0000,12.0252
325000,0.0000,12.2859
330000,0.0000,13.0590
335000,0.0000,11.3993
340000,0.0000,11.6249
345000,0.0000,11.3909
350000,0.0000,11.0460
355000,0.0000,12.1705
360000,0.0000,8.5510
365000,0.0000,11.3898
370000,0.0000,11.8835
375000,0.0000,12.2946
380000,0.0000,11.0046
385000,0.0000,11.4745
390000,0.0000,11.7637
395000,0.0000,10.9163
400000,0.0000,9.5413
405000,0.0000,12.3524
410000,0.0000,12.3767
415000,0.0000,11.7098
420000,0.0000,12.1513
425000,0.0000,11.9447
430000,0.0000,12.9670
435000,0.0000,10.0941
440000,0.0000,11.2760
445000,0.0000,10.8864
450000,0.0000,12.2001
455000,0.4000,11.6200
460000,0.6000,11.1253
465000,0.0000,11.5536
470000,0.0000,10.6810
475000,0.6000,9.5094
480000,0.0000,10.3348
485000,0.0000,10.6551
490000,0.0000,11.5079
495000,0.0000,11.7832
500000,0.0000,10.0878
505000,0.0000,10.1804
510000,0.0000,10.1160
515000,0.0000,9.0674
520000,0.0000,11.7506
525000,0.4000,12.6758
530000,0.0000,12.3254
535000,0.8000,11.8237
540000,0.4000,13.1139
545000,0.0000,11.3411
550000,0.0000,10.9816
555000,0.4000,11.7282
560000,0.4000,11.9186
565000,0.0000,12.7333
570000,0.8000,11.8275
575000,0.6000,11.6526
580000,0.8000,11.8797
585000,0.6000,11.3769
590000,0.4000,11.8414
595000,0.8000,11.7277
600000,0.0000,11.4811
605000,0.4000,12.4521
610000,0.0000,11.5384
615000,0.0000,11.5049
620000,0.0000,11.8633
625000,0.0000,11.8852
630000,0.0000,10.7061
635000,0.0000,12.1567
640000,0.0000,11.3304
645000,0.0000,12.0763
650000,0.0000,11.2041
655000,0.0000,10.9469
660000,0.0000,11.8887
665000,0.0000,11.3201
670000,0.0000,11.1142
675000,0.0000,10.6171
680000,0.0000,10.4735
685000,0.0000,11.2955
690000,0.0000,11.2026
695000,0.0000,11.6451
700000,0.0000,11.8322
705000,0.0000,11.3484
710000,0.0000,11.3372
715000,0.0000,11.7573
720000,0.0000,10.8023
725000,0.0000,9.9365
730000,0.0000,10.3167
735000,0.0000,11.6733
740000,0.0000,10.5129
745000,0.0000,11.1246
750000,0.0000,10.6996
755000,0.0000,12.5404
760000,0.0000,11.4975
765000,0.0000,11.4423
770000,0.0000,11.2666
775000,0.4000,10.7359
780000,0.6000,12.1270
785000,0.0000,11.0222
790000,0.0000,10.1385
795000,0.4000,11.0051
800000,0.6000,11.5617
805000,0.4000,11.7339
810000,0.4000,10.7264
815000,0.4000,9.4411
820000,0.0000,10.5240
825000,0.6000,11.1218
830000,1.0000,10.6255
835000,0.6000,10.8719
840000,0.0000,9.5143
845000,0.4000,11.7028
850000,0.0000,11.0776
855000,0.0000,10.0300
860000,0.6000,10.8099
865000,0.6000,10.9853
870000,0.6000,12.2422
875000,0.4000,12.1830
