frames,reward,dist
5000,0.0000,1.8725
10000,0.0000,9.5802
15000,0.0000,10.1635
20000,0.0000,11.1519
25000,0.0000,9.7397
30000,0.0000,9.8780
35000,0.0000,11.1367
40000,0.0000,10.0474
45000,0.0000,10.5882
50000,0.0000,11.2393
55000,0.0000,12.5038
60000,0.0000,11.7522
65000,0.0000,7.0153
70000,0.0000,8.6192
75000,0.0000,11.6914
80000,0.0000,10.2236
85000,0.0000,9.2419
90000,0.0000,10.6284
95000,0.0000,9.6500
100000,0.0000,9.9024
105000,0.0000,9.9691
110000,0.0000,9.6909
115000,0.0000,10.2196
120000,0.0000,8.6755
125000,0.0000,9.1248
130000,0.0000,9.6648
135000,0.0000,10.2007
140000,0.0000,10.1988
145000,0.0000,10.1638
150000,0.0000,10.2056
155000,0.0000,10.6865
160000,0.0000,10.4805
165000,0.0000,10.7590
170000,0.0000,10.4632
175000,0.0000,10.2355
180000,0.0000,10.9678
185000,0.0000,9.7554
190000,0.0000,7.9890
195000,0.0000,7.6650
200000,0.0000,10.2437
205000,0.0000,9.5243
210000,0.0000,10.0651
215000,0.0000,9.6768
220000,0.0000,9.0089
225000,0.0000,8.3153
230000,0.0000,8.9663
235000,0.0000,9.8329
240000,0.0000,8.9265
245000,0.0000,7.5491
250000,0.0000,7.8724
255000,0.0000,7.4084
260000,0.0000,8.0595
265000,0.0000,8.9076
270000,0.0000,7.7191
275000,0.0000,8.9211
280000,0.0000,8.1147
285000,0.0000,8.2490
290000,0.0000,9.6030
295000,0.0000,7.6243
300000,0.0000,8.4159
305000,0.0000,7.6938
310000,0.0000,10.3422
315000,0.0000,9.7516
320000,0.0000,9.2808
325000,0.0000,11.5197
330000,0.0000,9.5602
335000,0.0000,10.3707
340000,0.0000,9.4176
345000,0.0000,10.4722
350000,0.0000,10.4335
355000,0.0000,9.3792
360000,0.0000,10.9164
365000,0.0000,9.4740
370000,0.0000,10.3489
375000,0.0000,9.9389
380000,0.0000,11.4820
385000,0.0000,9.7837
390000,0.0000,9.8830
395000,0.0000,9.6026
400000,0.0000,10.2014
