frames,reward,dist
5000,0.0000,8.6511
10000,0.0000,9.1618
15000,0.0000,7.2406
20000,0.0000,12.2004
25000,0.0000,10.5756
30000,0.0000,13.3379
35000,0.0000,11.3272
40000,0.0000,11.9044
45000,0.0000,11.1220
50000,0.0000,13.7660
55000,0.0000,13.9793
60000,0.0000,10.8575
65000,0.0000,10.0148
70000,0.0000,10.1587
75000,0.0000,10.0815
80000,0.0000,9.9721
85000,0.0000,10.2306
90000,0.0000,9.8000
95000,0.0000,7.9134
100000,0.0000,9.0078
105000,0.0000,1.2278
110000,0.0000,1.2607
115000,0.0000,1.3398
120000,0.0000,0.8029
125000,0.0000,1.3941
130000,0.0000,1.8255
135000,0.0000,1.6794
140000,0.0000,1.2691
145000,0.0000,1.9915
150000,0.0000,2.0079
155000,0.0000,2.1606
160000,0.0000,2.1639
165000,0.0000,2.2111
170000,0.0000,2.2069
175000,0.0000,2.2118
180000,0.0000,2.2130
185000,0.0000,2.1586
190000,0.0000,2.2444
195000,0.0000,2.4195
200000,0.0000,2.2227
205000,0.0000,1.5435
210000,0.0000,1.5637
215000,0.0000,1.4105
220000,0.0000,1.4972
225000,0.0000,1.5857
230000,0.0000,1.3289
235000,0.0000,1.5072
240000,0.0000,1.5687
245000,0.0000,1.7536
250000,0.0000,1.7939
255000,0.0000,1.3840
260000,0.0000,1.0334
265000,0.0000,1.0802
270000,0.0000,1.4505
275000,0.0000,1.0687
280000,0.0000,1.4109
285000,0.0000,1.4249
290000,0.0000,1.1778
295000,0.0000,1.5447
300000,0.0000,1.2239
305000,0.0000,1.0673
310000,0.0000,1.3220
315000,0.0000,1.0557
320000,0.0000,1.5337
325000,0.0000,1.9801
330000,0.0000,1.1455
335000,0.0000,1.3244
340000,0.0000,1.4094
345000,0.0000,1.4150
350000,0.0000,1.3247
355000,0.0000,1.3198
360000,0.0000,1.2279
365000,0.0000,1.6742
370000,0.0000,1.3243
375000,0.0000,1.3149
380000,0.0000,1.3941
385000,0.0000,1.2894
390000,0.0000,1.5111
395000,0.0000,1.4848
400000,0.0000,1.1442
405000,0.0000,1.5403
410000,0.0000,1.3373
415000,0.0000,1.2785
420000,0.0000,1.5640
425000,0.0000,1.7419
430000,0.0000,1.5240
435000,0.0000,1.6847
440000,0.0000,1.3604
445000,0.0000,1.4750
450000,0.0000,1.7345
455000,0.0000,1.5168
460000,0.0000,1.4086
465000,0.0000,1.6461
470000,0.0000,1.7903
475000,0.0000,1.4438
480000,0.0000,1.7481
485000,0.0000,1.6132
490000,0.0000,1.6692
495000,0.0000,1.4768
500000,0.0000,1.3616
505000,0.0000,1.5480
510000,0.0000,1.7272
515000,0.0000,1.7467
520000,0.0000,1.6716
525000,0.0000,1.5688
530000,0.0000,1.6439
535000,0.0000,1.8720
540000,0.0000,1.6538
545000,0.0000,1.7652
550000,0.0000,1.4319
555000,0.0000,1.4247
560000,0.0000,1.4861
565000,0.0000,1.5669
570000,0.0000,1.5756
575000,0.0000,1.5605
580000,0.0000,1.7100
585000,0.0000,1.6710
590000,0.0000,1.8062
595000,0.0000,1.5411
600000,0.0000,1.7867
605000,0.0000,1.3537
610000,0.0000,1.2243
615000,0.0000,1.6080
620000,0.0000,1.4670
625000,0.0000,1.4731
630000,0.0000,1.4500
635000,0.0000,1.5103
640000,0.0000,1.1869
645000,0.0000,1.4316
650000,0.0000,1.4262
655000,0.0000,1.5507
660000,0.0000,1.6542
665000,0.0000,1.6854
670000,0.0000,1.5717
675000,0.0000,1.4202
680000,0.0000,1.9205
685000,0.0000,1.7706
690000,0.0000,1.5398
695000,0.0000,1.6385
700000,0.0000,1.4876
705000,0.0000,1.7220
710000,0.0000,1.7340
715000,0.0000,1.5044
720000,0.0000,1.7409
725000,0.0000,1.8239
730000,0.0000,1.7246
735000,0.0000,1.5995
740000,0.0000,1.8259
745000,0.0000,1.7369
750000,0.0000,1.5770
755000,0.0000,1.4848
760000,0.0000,1.7458
765000,0.0000,1.7600
770000,0.0000,2.0600
775000,0.0000,1.6867
780000,0.0000,1.6983
785000,0.0000,1.7231
790000,0.0000,1.7127
795000,0.0000,1.6406
800000,0.0000,1.5708
805000,0.0000,1.5751
810000,0.0000,1.3572
815000,0.0000,1.5620
820000,0.0000,1.6017
825000,0.0000,1.4629
830000,0.0000,1.2706
835000,0.0000,1.4713
840000,0.0000,1.4854
845000,0.0000,1.3496
850000,0.0000,1.4671
855000,0.0000,1.7374
860000,0.0000,1.5038
865000,0.0000,1.3802
870000,0.0000,1.5694
875000,0.0000,1.4533
880000,0.0000,1.4045
885000,0.0000,1.4404
890000,0.0000,1.4277
895000,0.0000,1.2876
900000,0.0000,1.4888
905000,0.0000,1.2167
910000,0.0000,1.4612
915000,0.0000,1.0886
920000,0.0000,1.4319
925000,0.0000,1.1996
930000,0.0000,1.2315
935000,0.0000,1.3231
940000,0.0000,1.3145
945000,0.0000,1.4281
950000,0.0000,1.2635
955000,0.0000,1.2774
960000,0.0000,1.5418
965000,0.0000,1.4083
970000,0.0000,1.4275
975000,0.0000,1.2038
980000,0.0000,1.4951
985000,0.0000,1.5958
990000,0.0000,1.6499
995000,0.0000,1.3899
1000000,0.0000,1.6572
1005000,0.0000,1.5122
1010000,0.0000,1.3151
1015000,0.0000,1.7961
1020000,0.0000,1.6396
1025000,0.0000,1.4072
1030000,0.0000,1.6914
1035000,0.0000,1.5568
1040000,0.0000,1.5146
1045000,0.0000,1.4880
1050000,0.0000,1.4569
1055000,0.0000,1.3588
1060000,0.0000,1.5340
1065000,0.0000,1.6402
1070000,0.0000,1.5772
1075000,0.0000,1.5986
1080000,0.0000,1.6514
1085000,0.0000,1.9793
1090000,0.0000,1.5794
1095000,0.0000,1.3297
1100000,0.0000,1.5494
1105000,0.0000,1.3499
1110000,0.0000,1.7565
1115000,0.0000,1.5983
1120000,0.0000,1.4584
1125000,0.0000,1.7068
1130000,0.0000,1.4957
1135000,0.0000,1.5456
1140000,0.0000,1.3745
1145000,0.0000,1.6041
1150000,0.0000,1.3882
1155000,0.0000,1.5658
1160000,0.0000,1.4750
1165000,0.0000,1.8138
1170000,0.0000,1.4681
1175000,0.0000,1.5907
1180000,0.0000,1.4955
1185000,0.0000,1.5110
1190000,0.0000,1.4761
1195000,0.0000,1.3801
1200000,0.0000,1.5578
1205000,0.0000,1.4156
1210000,0.0000,1.7652
1215000,0.0000,1.2152
1220000,0.0000,1.4008
1225000,0.0000,1.6222
1230000,0.0000,1.5555
1235000,0.0000,1.5498
1240000,0.0000,1.3689
1245000,0.0000,1.5704
1250000,0.0000,1.4530
1255000,0.0000,1.5441
1260000,0.0000,1.4637
1265000,0.0000,1.6117
1270000,0.0000,1.3090
1275000,0.0000,1.3226
1280000,0.0000,1.4027
1285000,0.0000,1.3130
1290000,0.0000,1.4072
1295000,0.0000,1.6604
1300000,0.0000,1.4578
1305000,0.0000,1.5271
1310000,0.0000,1.6767
1315000,0.0000,1.7352
1320000,0.0000,1.3219
1325000,0.0000,1.4995
1330000,0.0000,1.6352
1335000,0.0000,1.6836
1340000,0.0000,1.6471
1345000,0.0000,1.5606
1350000,0.0000,1.4680
1355000,0.0000,1.5827
1360000,0.0000,1.6426
1365000,0.0000,1.7864
1370000,0.0000,1.5071
1375000,0.0000,1.8247
1380000,0.0000,1.5905
1385000,0.0000,1.5472
1390000,0.0000,1.8494
1395000,0.0000,1.6936
1400000,0.0000,1.7164
1405000,0.0000,1.7512
1410000,0.0000,1.6802
1415000,0.0000,1.7252
1420000,0.0000,1.6688
1425000,0.0000,1.5329
1430000,0.0000,1.4918
1435000,0.0000,1.8682
1440000,0.0000,1.6109
1445000,0.0000,1.8063
1450000,0.0000,1.6556
1455000,0.0000,1.5264
1460000,0.0000,1.6996
1465000,0.0000,1.6993
1470000,0.0000,1.6772
1475000,0.0000,1.7444
1480000,0.0000,1.3314
1485000,0.0000,1.5296
1490000,0.0000,1.7957
1495000,0.0000,1.7373
1500000,0.0000,1.6867
1505000,0.0000,1.8186
1510000,0.0000,1.7285
1515000,0.0000,1.5820
1520000,0.0000,1.9238
1525000,0.0000,1.7770
1530000,0.0000,1.8420
1535000,0.0000,1.7406
1540000,0.0000,1.8227
1545000,0.0000,1.7969
1550000,0.0000,1.8818
1555000,0.0000,1.6248
1560000,0.0000,1.4631
1565000,0.0000,1.8319
1570000,0.0000,1.4814
1575000,0.0000,1.4094
1580000,0.0000,1.7055
1585000,0.0000,1.5185
1590000,0.0000,1.7953
1595000,0.0000,1.6852
1600000,0.0000,1.6220
1605000,0.0000,1.5967
1610000,0.0000,1.6976
1615000,0.0000,1.6734
1620000,0.0000,1.8617
1625000,0.0000,1.8814
1630000,0.0000,1.7659
1635000,0.0000,1.7667
1640000,0.0000,1.6287
1645000,0.0000,1.4530
1650000,0.0000,1.8985
1655000,0.0000,1.5071
1660000,0.0000,1.7596
1665000,0.0000,1.7389
1670000,0.0000,1.5585
1675000,0.0000,1.7596
1680000,0.0000,1.5526
1685000,0.0000,2.0082
1690000,0.0000,1.4503
1695000,0.0000,2.0063
1700000,0.0000,2.0507
1705000,0.0000,1.6492
1710000,0.0000,1.5543
1715000,0.0000,1.6057
1720000,0.0000,1.3985
1725000,0.0000,1.8106
1730000,0.0000,1.8770
1735000,0.0000,1.8650
1740000,0.0000,1.4562
1745000,0.0000,1.5073
1750000,0.0000,1.5527
1755000,0.0000,1.5328
1760000,0.0000,1.8163
1765000,0.0000,1.6651
1770000,0.0000,1.5379
1775000,0.0000,1.6360
1780000,0.0000,1.4719
1785000,0.0000,1.6833
1790000,0.0000,1.7132
1795000,0.0000,1.9267
1800000,0.0000,1.8461
1805000,0.0000,1.7088
1810000,0.0000,1.5396
1815000,0.0000,1.5158
1820000,0.0000,1.7669
1825000,0.0000,1.7667
1830000,0.0000,1.6309
1835000,0.0000,1.4581
1840000,0.0000,1.3856
1845000,0.0000,1.6818
1850000,0.0000,1.7758
1855000,0.0000,1.5819
1860000,0.0000,1.7894
1865000,0.0000,1.7955
1870000,0.0000,1.6478
1875000,0.0000,1.8235
1880000,0.0000,1.5951
1885000,0.0000,1.7528
1890000,0.0000,1.6605
1895000,0.0000,1.7621
1900000,0.0000,1.8300
1905000,0.0000,1.7496
1910000,0.0000,1.7635
1915000,0.0000,1.7490
1920000,0.0000,1.7171
1925000,0.0000,1.5671
1930000,0.0000,1.6033
1935000,0.0000,1.6157
1940000,0.0000,1.5336
1945000,0.0000,1.5840
1950000,0.0000,1.6651
1955000,0.0000,1.7403
1960000,0.0000,1.7602
1965000,0.0000,1.7993
1970000,0.0000,1.6284
1975000,0.0000,1.8225
1980000,0.0000,1.8250
1985000,0.0000,1.4141
1990000,0.0000,1.8458
1995000,0.0000,1.7532
2000000,0.0000,1.9035
2005000,0.0000,1.8802
2010000,0.0000,1.9736
2015000,0.0000,1.7976
2020000,0.0000,1.8521
2025000,0.0000,1.9283
2030000,0.0000,2.0053
2035000,0.0000,2.0153
2040000,0.0000,1.9034
2045000,0.0000,2.0072
2050000,0.0000,2.0740
2055000,0.0000,1.7473
2060000,0.0000,1.8631
2065000,0.0000,1.8500
2070000,0.0000,1.6536
2075000,0.0000,1.8027
2080000,0.0000,1.7144
2085000,0.0000,1.7971
2090000,0.0000,1.8672
2095000,0.0000,1.4937
2100000,0.0000,1.6585
2105000,0.0000,1.8474
2110000,0.0000,1.6988
2115000,0.0000,1.6040
2120000,0.0000,1.4340
2125000,0.0000,1.7489
2130000,0.0000,1.9024
2135000,0.0000,1.8585
2140000,0.0000,1.8829
2145000,0.0000,1.4983
2150000,0.0000,1.7977
2155000,0.0000,1.8671
2160000,0.0000,1.6622
2165000,0.0000,1.6603
2170000,0.0000,1.6512
2175000,0.0000,1.7892
2180000,0.0000,1.4536
2185000,0.0000,1.8011
2190000,0.0000,1.6242
2195000,0.0000,1.7941
2200000,0.0000,1.9515
2205000,0.0000,2.0682
2210000,0.0000,1.5114
2215000,0.0000,1.8235
2220000,0.0000,1.8738
2225000,0.0000,1.5741
2230000,0.0000,1.6735
2235000,0.0000,1.9082
2240000,0.0000,1.6799
2245000,0.0000,1.4429
2250000,0.0000,1.5269
2255000,0.0000,1.6899
2260000,0.0000,1.8974
2265000,0.0000,1.8129
2270000,0.0000,1.9247
2275000,0.0000,1.7582
2280000,0.0000,1.7925
2285000,0.0000,1.8868
2290000,0.0000,1.8690
2295000,0.0000,1.8544
2300000,0.0000,2.0397
2305000,0.0000,1.8173
2310000,0.0000,1.9736
2315000,0.0000,1.7747
2320000,0.0000,2.0710
2325000,0.0000,1.8944
2330000,0.0000,2.2216
2335000,0.0000,1.4760
2340000,0.0000,1.8439
2345000,0.0000,2.0048
2350000,0.0000,1.8231
2355000,0.0000,1.7858
2360000,0.0000,1.6190
2365000,0.0000,2.0206
2370000,0.0000,1.8882
2375000,0.0000,2.0126
2380000,0.0000,1.9349
2385000,0.0000,1.7782
2390000,0.0000,2.0343
2395000,0.0000,1.6977
2400000,0.0000,2.0556
2405000,0.0000,1.4934
2410000,0.0000,2.0306
2415000,0.0000,1.6896
2420000,0.0000,1.7391
2425000,0.0000,2.1151
2430000,0.0000,1.8981
2435000,0.0000,1.8355
2440000,0.0000,1.5210
2445000,0.0000,1.9750
2450000,0.0000,2.0096
2455000,0.0000,1.8992
2460000,0.0000,2.0136
2465000,0.0000,1.7466
2470000,0.0000,1.7601
2475000,0.0000,1.8340
2480000,0.0000,1.9193
2485000,0.0000,1.8884
2490000,0.0000,1.9059
2495000,0.0000,2.1750
2500000,0.0000,1.9450
2505000,0.0000,2.0494
2510000,0.0000,1.7212
2515000,0.0000,1.9575
2520000,0.0000,1.8943
2525000,0.0000,1.7004
2530000,0.0000,2.1282
2535000,0.0000,1.9507
2540000,0.0000,1.9703
2545000,0.0000,2.0234
2550000,0.0000,1.6320
2555000,0.0000,1.8971
2560000,0.0000,2.0531
2565000,0.0000,2.1265
2570000,0.0000,2.1269
2575000,0.0000,2.0389
2580000,0.0000,2.0944
2585000,0.0000,1.9658
2590000,0.0000,1.8597
2595000,0.0000,1.9286
2600000,0.0000,1.8172
2605000,0.0000,1.7655
2610000,0.0000,1.8914
2615000,0.0000,2.0129
2620000,0.0000,1.7506
2625000,0.0000,1.8048
2630000,0.0000,1.9526
2635000,0.0000,1.8174
2640000,0.0000,1.9666
2645000,0.0000,1.8647
2650000,0.0000,1.6579
2655000,0.0000,1.9371
2660000,0.0000,1.9748
2665000,0.0000,1.8595
2670000,0.0000,1.8125
2675000,0.0000,2.0004
2680000,0.0000,2.0454
2685000,0.0000,1.8607
2690000,0.0000,1.8292
2695000,0.0000,2.0328
2700000,0.0000,1.8462
2705000,0.0000,2.1289
2710000,0.0000,2.0813
2715000,0.0000,1.7766
2720000,0.0000,2.1025
2725000,0.0000,1.7973
2730000,0.0000,2.0855
2735000,0.0000,1.9544
2740000,0.0000,1.4562
2745000,0.0000,2.0149
2750000,0.0000,1.6738
2755000,0.0000,2.1335
2760000,0.0000,1.8254
2765000,0.0000,1.8920
2770000,0.0000,2.0872
2775000,0.0000,1.9194
2780000,0.0000,1.9218
2785000,0.0000,1.8137
2790000,0.0000,2.1161
2795000,0.0000,1.9336
2800000,0.0000,2.1978
2805000,0.0000,1.8877
2810000,0.0000,1.7965
2815000,0.0000,1.9675
2820000,0.0000,2.0689
2825000,0.0000,1.8893
2830000,0.0000,2.0226
2835000,0.0000,1.8740
2840000,0.0000,1.9801
2845000,0.0000,1.8154
2850000,0.0000,1.7983
2855000,0.0000,1.8532
2860000,0.0000,1.7354
2865000,0.0000,1.6521
2870000,0.0000,2.1320
2875000,0.0000,1.8892
2880000,0.0000,1.8351
2885000,0.0000,2.0163
2890000,0.0000,1.9366
2895000,0.0000,1.6034
2900000,0.0000,1.8713
2905000,0.0000,2.0512
2910000,0.0000,1.9488
2915000,0.0000,1.7805
2920000,0.0000,1.9813
2925000,0.0000,1.8247
2930000,0.0000,1.9297
2935000,0.0000,2.1672
2940000,0.0000,2.1912
2945000,0.0000,1.7569
2950000,0.0000,1.7093
2955000,0.0000,2.2351
2960000,0.0000,1.8630
2965000,0.0000,1.7042
2970000,0.0000,2.0940
2975000,0.0000,1.9093
2980000,0.0000,2.1345
2985000,0.0000,1.9152
2990000,0.0000,1.9551
2995000,0.0000,1.9089
3000000,0.0000,1.7489
3005000,0.0000,2.0313
3010000,0.0000,1.8593
3015000,0.0000,1.9299
3020000,0.0000,2.1383
3025000,0.0000,1.9980
3030000,0.0000,2.2237
3035000,0.0000,1.9550
3040000,0.0000,2.0446
3045000,0.0000,2.1717
3050000,0.0000,1.9703
3055000,0.0000,1.9530
3060000,0.0000,1.5747
3065000,0.0000,1.8299
3070000,0.0000,1.5675
3075000,0.0000,1.5006
3080000,0.0000,2.0589
3085000,0.0000,1.9702
3090000,0.0000,1.8567
3095000,0.0000,1.7076
3100000,0.0000,2.1865
3105000,0.0000,1.8873
3110000,0.0000,1.9442
3115000,0.0000,1.8830
3120000,0.0000,1.9251
3125000,0.0000,1.7558
3130000,0.0000,1.7396
3135000,0.0000,1.9398
3140000,0.0000,1.8709
3145000,0.0000,1.8177
3150000,0.0000,1.8894
3155000,0.0000,2.2626
3160000,0.0000,2.0005
3165000,0.0000,2.3310
3170000,0.0000,2.3299
3175000,0.0000,2.1679
3180000,0.0000,2.4056
3185000,0.0000,1.8491
3190000,0.0000,2.3139
3195000,0.0000,2.3279
3200000,0.0000,1.8921
3205000,0.0000,1.8241
3210000,0.0000,1.9949
3215000,0.0000,1.8567
3220000,0.0000,1.8419
3225000,0.0000,2.2251
3230000,0.0000,2.0130
3235000,0.0000,2.0402
3240000,0.0000,1.9629
3245000,0.0000,2.0785
3250000,0.0000,1.9553
3255000,0.0000,2.0151
3260000,0.0000,2.1486
3265000,0.0000,2.0107
