frames,reward,dist
5000,0.0000,6.7437
10000,0.0000,14.0235
15000,0.0000,5.0561
20000,0.0000,14.2077
25000,0.0000,14.0700
30000,0.0000,7.8744
35000,0.0000,9.4369
40000,0.0000,13.9601
45000,0.0000,10.9921
50000,0.0000,3.5695
55000,0.0000,5.3089
60000,0.0000,3.6357
65000,0.0000,11.8684
70000,0.0000,14.1192
75000,0.0000,14.0206
80000,0.0000,14.1472
85000,0.0000,8.9672
90000,0.0000,14.2477
95000,0.0000,13.6621
100000,0.0000,14.2487
105000,0.0000,13.0494
110000,0.0000,14.2115
115000,0.0000,14.2470
120000,0.0000,11.0909
125000,0.0000,14.2372
130000,0.0000,14.2142
135000,0.0000,14.2356
140000,0.0000,11.1279
145000,0.0000,11.1120
150000,0.0000,6.3272
155000,0.0000,13.6292
160000,0.0000,11.7531
165000,0.0000,13.9463
170000,0.0000,12.6455
175000,0.0000,13.0932
180000,0.0000,13.0806
185000,0.0000,7.2333
190000,0.0000,7.4793
195000,0.0000,11.9117
200000,0.0000,12.4227
205000,0.0000,9.0855
210000,0.0000,12.5696
215000,0.0000,13.6035
220000,0.0000,7.6300
225000,0.0000,10.5324
230000,0.0000,13.0335
235000,0.0000,4.5067
240000,0.0000,12.7477
245000,0.0000,10.0217
250000,0.0000,10.8795
255000,0.0000,9.0450
260000,0.0000,12.0319
265000,0.0000,3.6782
270000,0.0000,2.9343
275000,0.0000,9.7384
280000,0.0000,7.6368
285000,0.0000,8.2369
290000,0.0000,12.6822
295000,0.0000,11.0030
300000,0.0000,9.5756
305000,0.0000,9.1524
310000,0.0000,8.7899
315000,0.0000,9.1902
320000,0.0000,11.3701
325000,0.0000,10.5836
330000,0.0000,12.8009
335000,0.0000,10.5837
340000,0.0000,12.7140
345000,0.0000,11.8485
350000,0.0000,11.8366
355000,0.0000,9.6842
360000,0.0000,12.7627
365000,0.0000,9.2772
370000,0.0000,13.3188
375000,0.0000,12.2452
380000,0.0000,11.9501
385000,0.0000,12.0192
390000,0.0000,8.8967
395000,0.0000,12.4412
400000,0.0000,12.4923
405000,0.0000,8.6101
410000,0.0000,12.4811
415000,0.0000,9.7413
420000,0.0000,11.7650
425000,0.0000,11.2810
430000,0.0000,11.6251
435000,0.0000,12.0771
440000,0.0000,12.5151
445000,0.0000,11.4202
450000,0.0000,12.9495
455000,0.0000,13.1362
460000,0.0000,11.8975
465000,0.0000,9.9411
470000,0.0000,10.7739
475000,0.0000,11.9935
480000,0.0000,11.8542
485000,0.0000,9.3290
490000,0.0000,11.7930
495000,0.0000,9.6926
500000,0.0000,12.4502
505000,0.0000,9.2506
510000,0.0000,11.2633
515000,0.0000,11.1354
520000,0.0000,13.4799
525000,0.0000,13.3102
530000,0.0000,12.1152
535000,0.0000,11.9536
540000,0.0000,12.2322
545000,0.0000,13.0551
550000,0.0000,9.7010
555000,0.0000,12.1811
560000,0.0000,13.2616
565000,0.0000,9.3392
570000,0.0000,10.4598
575000,0.0000,12.6841
580000,0.0000,11.3057
585000,0.0000,12.7804
590000,0.0000,13.0670
595000,0.0000,8.8098
600000,0.0000,10.3010
605000,0.0000,8.7743
610000,0.0000,13.0885
615000,0.0000,8.8593
620000,0.0000,11.9606
625000,0.0000,12.9516
630000,0.0000,13.4780
635000,0.0000,13.3310
640000,0.0000,9.2376
645000,0.0000,11.0099
650000,0.0000,11.3844
655000,0.0000,12.8006
660000,0.0000,12.7176
665000,0.0000,12.1341
670000,0.0000,8.7367
675000,0.0000,7.4922
680000,0.0000,8.8931
685000,0.0000,8.8789
690000,0.0000,8.9673
695000,0.0000,7.6645
700000,0.0000,12.6491
705000,0.0000,12.3640
710000,0.0000,6.7662
715000,0.0000,12.5554
720000,0.0000,12.9792
725000,0.0000,11.7759
730000,0.0000,13.2364
735000,0.0000,12.4779
740000,0.0000,13.1979
745000,0.0000,13.4056
750000,0.0000,12.2922
755000,0.0000,11.8117
760000,0.0000,11.7348
765000,0.0000,12.1562
770000,0.0000,12.1132
775000,0.0000,12.0962
780000,0.0000,11.5796
785000,0.0000,12.2028
790000,0.0000,11.8555
795000,0.0000,11.5252
800000,0.0000,11.9330
805000,0.0000,11.3500
810000,0.0000,12.5498
815000,0.0000,12.1155
820000,0.0000,11.8186
825000,0.0000,11.2451
830000,0.0000,11.7310
835000,0.0000,11.8247
840000,0.0000,11.2385
845000,0.0000,12.3111
850000,0.0000,12.2898
855000,0.0000,11.8204
860000,0.0000,11.3497
865000,0.2000,11.7469
870000,0.0000,10.7693
875000,0.0000,11.2031
880000,0.2000,12.0612
885000,0.6000,11.6862
890000,0.0000,12.2062
895000,0.0000,12.4256
900000,0.0000,11.9770
905000,0.0000,12.0874
910000,0.0000,12.1006
915000,0.0000,12.1320
920000,0.0000,12.4024
925000,0.0000,12.1958
930000,0.2000,12.3596
935000,0.0000,12.2183
940000,0.0000,12.2800
945000,0.0000,11.7344
950000,0.0000,11.9904
955000,0.6000,12.2170
960000,0.2000,11.7441
965000,0.0000,12.1264
970000,0.0000,11.2349
975000,0.2000,11.4557
980000,0.2000,12.1797
985000,0.0000,12.7230
990000,0.6000,11.9948
995000,0.0000,12.2114
1000000,0.4000,12.2410
1005000,0.0000,12.2252
1010000,0.0000,11.1452
1015000,0.0000,12.0185
1020000,0.6000,11.9451
1025000,0.6000,12.4072
1030000,0.0000,12.1507
1035000,0.8000,11.7276
1040000,0.4000,11.8194
1045000,0.2000,12.2442
1050000,0.6000,12.1194
1055000,0.4000,12.5129
1060000,0.0000,12.6867
1065000,0.2000,12.1755
1070000,0.2000,12.3321
1075000,0.8000,11.8999
1080000,0.6000,11.8387
1085000,0.8000,11.7710
1090000,0.8000,11.6939
1095000,0.4000,11.9678
1100000,0.2000,12.1385
1105000,0.0000,11.9003
1110000,0.4000,11.7668
1115000,0.0000,11.4497
1120000,0.4000,12.4696
1125000,0.8000,12.0658
1130000,0.4000,11.8786
1135000,0.6000,12.2142
1140000,0.0000,11.6956
1145000,0.8000,12.2405
1150000,0.0000,12.2532
1155000,0.0000,12.0812
1160000,0.0000,11.8890
1165000,0.0000,12.0433
1170000,1.0000,11.5224
1175000,0.8000,12.0957
1180000,0.0000,12.0465
1185000,0.4000,12.2766
1190000,0.0000,11.6853
1195000,0.2000,11.3747
1200000,1.0000,12.0711
1205000,0.8000,12.2828
1210000,0.6000,11.7086
1215000,0.0000,11.7649
1220000,0.8000,11.5813
1225000,0.0000,10.6093
1230000,0.2000,12.0741
1235000,0.8000,11.9399
1240000,0.8000,11.0495
1245000,0.6000,12.1447
1250000,0.8000,12.1821
1255000,0.8000,11.8313
1260000,0.6000,11.8279
1265000,0.4000,10.8953
1270000,0.4000,11.5210
1275000,0.4000,10.7624
1280000,0.6000,10.9860
1285000,0.8000,10.5949
