frames,reward,dist
5000,0.0000,1.8537
10000,0.0000,2.8913
15000,0.0000,2.0823
20000,0.0000,2.0957
25000,0.0000,5.9989
30000,0.0000,6.3234
35000,0.0000,6.5383
40000,0.0000,4.2757
45000,0.0000,10.1305
50000,0.0000,13.5627
55000,0.0000,5.5217
60000,0.0000,11.7498
65000,0.0000,12.5438
70000,0.0000,11.2165
75000,0.0000,14.1319
80000,0.0000,12.1453
85000,0.0000,11.8609
90000,0.0000,11.2947
95000,0.0000,11.0049
100000,0.0000,12.7796
105000,0.0000,12.3853
110000,0.0000,9.7743
115000,0.0000,10.4799
120000,0.0000,11.8771
125000,0.0000,11.1357
130000,0.0000,12.3347
135000,0.0000,9.8680
140000,0.0000,9.2283
145000,0.0000,11.7816
150000,0.0000,6.7870
155000,0.0000,7.9318
160000,0.0000,11.4800
165000,0.0000,11.6946
170000,0.0000,12.9416
175000,0.0000,3.1939
180000,0.0000,8.1667
185000,0.0000,7.7362
190000,0.0000,12.3537
195000,0.0000,4.8748
200000,0.0000,11.5730
205000,0.0000,9.4763
210000,0.0000,3.4602
215000,0.0000,5.0387
220000,0.0000,6.1275
225000,0.0000,5.4624
230000,0.0000,10.4061
235000,0.0000,10.3233
240000,0.0000,11.8374
245000,0.0000,10.8068
250000,0.0000,9.6709
255000,0.0000,10.7273
260000,0.0000,11.4541
265000,0.0000,11.4639
270000,0.0000,11.5309
275000,0.0000,13.2200
280000,0.0000,12.6253
285000,0.0000,12.9496
290000,0.0000,10.8352
295000,0.0000,11.5254
300000,0.0000,12.6137
305000,0.0000,11.1177
310000,0.0000,11.5809
315000,0.0000,12.5568
320000,0.0000,13.2960
325000,0.0000,11.6672
330000,0.0000,12.3256
335000,0.0000,12.9837
340000,0.0000,12.5927
345000,0.0000,12.4963
350000,0.0000,12.2846
355000,0.0000,13.1218
360000,0.0000,13.5243
365000,0.0000,12.3290
370000,0.0000,12.6854
375000,0.0000,12.5209
380000,0.0000,12.9535
385000,0.0000,11.7689
390000,0.0000,12.9044
395000,0.0000,13.1237
400000,0.0000,13.0217
405000,0.0000,12.3954
410000,0.0000,12.9161
415000,0.0000,12.8288
420000,0.0000,13.0250
425000,0.0000,13.0515
430000,0.0000,12.8992
435000,0.0000,12.7919
440000,0.0000,12.3993
445000,0.0000,12.2624
450000,0.0000,12.6380
