frames,reward,dist
5000,0.0000,12.1703
10000,0.0000,10.3939
15000,0.0000,10.7500
20000,0.0000,10.8097
25000,0.0000,10.4257
30000,0.0000,9.7265
35000,0.0000,11.7391
40000,0.0000,10.6378
45000,0.0000,11.9601
50000,0.0000,10.6415
55000,0.0000,10.5159
60000,0.0000,11.3856
65000,0.0000,11.2299
70000,0.0000,12.0100
75000,0.0000,10.6248
80000,0.0000,12.2244
85000,0.0000,12.5719
90000,0.0000,13.0861
95000,0.0000,11.7031
100000,0.0000,11.9302
105000,0.0000,11.9167
110000,0.0000,11.3848
115000,0.0000,11.2470
120000,0.0000,12.1328
125000,0.0000,11.5845
130000,0.4000,12.9351
135000,0.0000,11.2008
140000,0.0000,10.5110
145000,0.0000,11.2386
150000,0.0000,10.3930
155000,0.0000,11.1418
160000,0.0000,11.9841
165000,0.6000,12.0746
170000,0.0000,10.3522
175000,0.0000,10.7382
180000,0.0000,11.6785
185000,0.0000,11.3028
190000,0.0000,13.3858
195000,0.0000,10.9655
200000,0.0000,11.5091
205000,0.0000,11.9875
210000,0.0000,11.5289
215000,0.6000,11.6779
220000,0.2000,11.5288
225000,0.8000,10.3312
230000,0.6000,11.3519
235000,0.4000,12.2106
240000,0.2000,12.1301
245000,0.6000,10.9802
250000,0.6000,11.7436
255000,0.4000,11.1886
260000,0.2000,12.4767
265000,0.4000,12.3996
270000,0.4000,12.8268
275000,0.2000,10.0195
280000,0.4000,12.4723
285000,0.2000,11.2799
290000,0.4000,12.7316
295000,0.6000,12.4315
300000,0.6000,11.9119
305000,0.4000,11.2637
310000,0.8000,12.6650
315000,0.4000,13.0439
320000,0.8000,12.3280
325000,0.8000,12.6036
330000,0.8000,12.5363
335000,0.6000,12.7439
340000,0.2000,11.1579
345000,0.8000,12.2014
350000,0.6000,11.7927
355000,0.2000,11.7903
360000,0.0000,12.3375
365000,0.4000,12.5754
370000,0.0000,12.5176
375000,0.0000,11.2601
380000,0.0000,11.2338
385000,0.2000,11.4791
390000,0.0000,11.5619
395000,0.0000,11.3193
400000,0.0000,11.8362
405000,0.4000,11.6515
410000,0.4000,12.3807
415000,0.2000,11.0811
420000,0.4000,10.9553
425000,0.4000,11.8214
430000,0.0000,11.6323
435000,0.2000,12.4386
440000,0.6000,12.3003
445000,0.2000,12.7126
450000,0.6000,11.6756
455000,0.2000,11.9919
460000,0.4000,12.3033
465000,0.4000,11.4186
470000,0.2000,11.7489
475000,0.2000,11.6963
480000,0.4000,11.8568
485000,0.0000,11.6922
490000,0.6000,11.1079
495000,0.4000,12.5100
500000,0.8000,11.6778
505000,0.4000,12.2340
510000,0.8000,11.3458
515000,0.4000,12.4024
520000,0.8000,12.3531
525000,0.4000,11.7079
530000,0.2000,12.2360
535000,0.6000,10.8506
540000,0.4000,10.8185
545000,0.2000,11.4933
550000,0.4000,11.6481
555000,0.6000,12.1335
560000,0.6000,10.7591
565000,0.0000,11.2815
570000,0.6000,10.4481
575000,0.2000,8.1084
580000,0.4000,12.2577
585000,0.2000,11.2652
590000,0.4000,10.2128
595000,0.2000,11.1301
600000,0.2000,12.0903
605000,0.4000,11.1931
610000,0.2000,10.2253
615000,0.8000,12.3975
620000,0.2000,11.5537
625000,0.4000,12.4170
630000,0.6000,11.4297
635000,0.6000,11.0522
640000,0.8000,10.4382
645000,0.6000,11.7282
650000,0.8000,11.7120
655000,0.4000,11.0771
660000,0.6000,10.8039
665000,0.8000,11.1055
670000,0.4000,10.3403
675000,0.4000,11.4656
680000,0.4000,12.8945
685000,0.4000,10.7013
690000,0.4000,11.3794
695000,0.4000,11.4185
700000,0.4000,11.0261
705000,0.2000,11.7864
710000,0.2000,11.7268
715000,0.8000,11.6647
720000,0.4000,12.2190
725000,0.4000,12.4698
730000,0.2000,11.3548
735000,0.2000,11.4786
740000,0.4000,11.7624
745000,0.4000,12.5127
750000,0.4000,11.5701
755000,0.6000,10.5294
760000,0.8000,11.5791
765000,0.2000,9.9489
770000,0.2000,11.5864
775000,0.4000,11.7449
780000,0.4000,10.1084
785000,0.6000,11.5505
790000,0.6000,10.9912
795000,0.6000,11.1616
800000,0.6000,11.4954
805000,0.4000,12.0685
810000,0.8000,10.5750
815000,0.4000,11.3639
820000,0.4000,11.9306
825000,0.6000,11.1973
830000,0.6000,9.8020
835000,0.8000,11.7319
840000,1.0000,11.0378
845000,0.4000,10.8207
850000,0.6000,11.5234
855000,0.8000,11.1361
