frames,reward,dist
5000,0.0000,9.1285
10000,0.0000,14.1147
15000,0.0000,14.1264
20000,0.0000,14.0642
25000,0.0000,14.1481
30000,0.0000,14.1519
35000,0.0000,14.1506
40000,0.0000,14.1510
45000,0.0000,14.1479
50000,0.0000,14.1473
55000,0.0000,14.1461
60000,0.0000,14.1497
65000,0.0000,14.1493
70000,0.0000,14.1509
75000,0.0000,14.1138
80000,0.0000,14.1550
85000,0.0000,14.1489
90000,0.0000,14.1440
95000,0.0000,14.1534
100000,0.0000,14.1522
105000,0.0000,14.1617
110000,0.0000,14.1427
115000,0.0000,10.9221
120000,0.0000,9.7855
125000,0.0000,14.0737
130000,0.0000,11.5627
135000,0.0000,14.1182
140000,0.0000,13.1365
145000,0.0000,13.4911
150000,0.0000,14.0881
155000,0.0000,13.4382
160000,0.0000,14.0958
165000,0.0000,13.6251
170000,0.0000,14.0656
175000,0.0000,14.0910
180000,0.0000,13.6350
185000,0.0000,8.4440
190000,0.0000,13.7097
195000,0.0000,12.5153
200000,0.0000,14.1005
205000,0.0000,14.0795
210000,0.0000,12.3236
215000,0.0000,11.9328
220000,0.0000,12.2567
225000,0.0000,7.0387
230000,0.0000,7.2221
235000,0.0000,12.0071
240000,0.0000,9.4745
245000,0.0000,6.9074
250000,0.0000,12.4233
255000,0.0000,11.3856
260000,0.0000,9.4415
265000,0.0000,12.2110
270000,0.0000,13.3857
275000,0.0000,13.7260
280000,0.0000,11.7453
285000,0.0000,13.1199
290000,0.0000,14.0743
295000,0.0000,10.8949
300000,0.0000,6.6610
305000,0.0000,9.1226
310000,0.0000,11.5725
315000,0.0000,12.7807
320000,0.0000,8.7574
325000,0.0000,11.0693
330000,0.0000,13.2509
335000,0.0000,11.2618
340000,0.0000,11.1809
345000,0.0000,11.1298
350000,0.0000,7.2549
355000,0.0000,13.6565
360000,0.0000,9.2596
365000,0.0000,12.1501
370000,0.0000,12.0939
375000,0.0000,11.8626
380000,0.0000,12.0684
385000,0.0000,12.5368
390000,0.0000,11.3807
395000,0.0000,11.4215
400000,0.0000,12.4788
405000,0.0000,12.2463
410000,0.0000,11.6017
415000,0.0000,10.1087
420000,0.0000,11.2669
425000,0.0000,12.2047
430000,0.0000,11.7482
435000,0.0000,11.8391
440000,0.0000,11.6696
445000,0.0000,13.0091
450000,0.0000,13.2028
455000,0.0000,11.3808
460000,0.0000,12.3209
465000,0.0000,10.8412
470000,0.0000,11.8756
475000,0.0000,12.1042
480000,0.0000,11.1948
485000,0.0000,11.9987
490000,0.0000,9.9428
495000,0.0000,12.4203
500000,0.0000,13.0273
505000,0.0000,12.4758
510000,0.0000,11.9048
515000,0.0000,10.4727
520000,0.0000,11.1516
525000,0.0000,11.7552
530000,0.0000,11.9743
535000,0.0000,12.3222
540000,0.0000,10.3226
545000,0.0000,12.6788
550000,0.0000,12.1306
555000,0.0000,9.3425
560000,0.0000,12.8055
565000,0.0000,10.8105
570000,0.0000,12.1757
575000,0.0000,11.8701
580000,0.0000,12.2443
585000,0.0000,10.3482
590000,0.0000,12.0671
595000,0.0000,11.7524
600000,0.0000,11.6538
605000,0.0000,10.4275
610000,0.0000,11.3091
615000,0.0000,10.9465
620000,0.0000,12.3673
625000,0.0000,11.3091
630000,0.0000,11.9155
635000,0.0000,10.1687
640000,0.0000,11.4658
645000,0.0000,11.0466
650000,0.0000,10.4797
655000,0.0000,11.7092
660000,0.0000,10.3225
665000,0.0000,12.2669
670000,0.0000,10.9114
675000,0.0000,11.3149
680000,0.0000,11.6658
685000,0.0000,12.8791
690000,0.0000,12.2581
695000,0.0000,11.1234
700000,0.0000,11.9880
705000,0.0000,12.0551
710000,0.0000,12.9172
715000,0.0000,12.3882
720000,0.0000,12.5906
725000,0.0000,12.1389
730000,0.0000,12.0181
735000,0.0000,11.4842
740000,0.0000,11.5216
745000,0.0000,12.1199
750000,0.0000,11.9152
755000,0.0000,10.9713
760000,0.0000,9.9441
765000,0.0000,11.3697
770000,0.0000,12.0268
775000,0.0000,11.1855
780000,0.0000,11.3458
785000,0.0000,10.8593
790000,0.0000,11.9621
795000,0.0000,13.0662
800000,0.0000,10.7733
805000,0.0000,11.8228
810000,0.0000,10.0925
815000,0.0000,11.1160
820000,0.0000,13.1427
825000,0.0000,12.1022
830000,0.0000,10.6980
835000,0.0000,11.1795
840000,0.0000,10.8721
845000,0.0000,11.0522
850000,0.0000,10.6764
855000,0.0000,10.5386
860000,0.0000,10.6318
865000,0.0000,11.9470
870000,0.0000,12.0764
875000,0.0000,10.8687
880000,0.0000,11.6845
885000,0.0000,12.9421
890000,0.0000,12.4637
895000,0.0000,12.4872
900000,0.0000,12.4324
905000,0.0000,12.1685
910000,0.0000,12.0413
915000,0.0000,11.7535
920000,0.0000,12.6251
925000,0.0000,12.1646
930000,0.0000,11.7717
935000,0.0000,12.4642
940000,0.0000,12.1906
945000,0.2000,10.7635
950000,0.0000,12.1576
955000,0.0000,11.8450
960000,0.0000,10.6477
965000,0.0000,11.8047
970000,0.0000,11.1358
975000,0.2000,11.9641
980000,0.0000,11.0182
985000,0.0000,10.9374
990000,0.2000,12.4069
995000,0.0000,12.3040
1000000,0.0000,11.6171
1005000,0.0000,9.9809
1010000,0.0000,10.6159
1015000,0.0000,10.4649
1020000,0.0000,9.5829
1025000,0.0000,11.3844
1030000,0.0000,11.2933
1035000,0.0000,10.9379
