frames,reward,dist
5000,0.0000,2.9321
10000,0.0000,5.4617
15000,0.0000,6.5601
20000,0.0000,9.2337
25000,0.0000,5.8947
30000,0.0000,10.3921
35000,0.0000,10.1008
40000,0.0000,8.8926
45000,0.0000,8.4647
50000,0.0000,8.7844
55000,0.0000,1.0639
60000,0.0000,0.7197
65000,0.0000,0.6155
70000,0.0000,1.2331
75000,0.0000,1.1704
80000,0.0000,1.0443
85000,0.0000,1.0511
90000,0.0000,0.9792
95000,0.0000,0.7553
100000,0.0000,0.9279
105000,0.0000,1.0279
110000,0.0000,0.6535
115000,0.0000,0.5746
120000,0.0000,0.7870
125000,0.0000,0.7179
130000,0.0000,1.0001
135000,0.0000,0.7740
140000,0.0000,1.3164
145000,0.0000,0.9198
150000,0.0000,1.3084
155000,0.0000,1.3356
160000,0.0000,1.2369
165000,0.0000,1.3008
170000,0.0000,1.3742
175000,0.0000,1.3847
180000,0.0000,1.1386
185000,0.0000,1.1363
190000,0.0000,1.1473
195000,0.0000,1.5311
200000,0.0000,1.2464
205000,0.0000,1.5041
210000,0.0000,1.5330
215000,0.0000,1.2274
220000,0.0000,1.4725
225000,0.0000,1.5117
230000,0.0000,1.5766
235000,0.0000,1.2584
240000,0.0000,1.2074
245000,0.0000,1.3128
250000,0.0000,1.2372
255000,0.0000,1.0081
260000,0.0000,1.3995
265000,0.0000,1.4845
270000,0.0000,1.3206
275000,0.0000,1.1336
280000,0.0000,0.9764
285000,0.0000,1.1337
290000,0.0000,1.2234
295000,0.0000,0.8842
300000,0.0000,1.0047
305000,0.0000,0.9486
310000,0.0000,0.9767
315000,0.0000,1.2122
320000,0.0000,1.3416
325000,0.0000,1.2027
330000,0.0000,1.0816
335000,0.0000,1.3679
340000,0.0000,1.2463
345000,0.0000,1.5969
350000,0.0000,1.3642
355000,0.0000,1.4914
360000,0.0000,1.1534
365000,0.0000,0.8874
370000,0.0000,0.9215
375000,0.0000,1.3922
380000,0.0000,1.4403
385000,0.0000,1.3630
390000,0.0000,1.4395
395000,0.0000,1.2782
400000,0.0000,1.3001
405000,0.0000,1.4009
410000,0.0000,1.3000
415000,0.0000,1.3962
420000,0.0000,1.3664
425000,0.0000,1.3284
430000,0.0000,1.2115
435000,0.0000,1.6752
440000,0.0000,1.3605
445000,0.0000,1.6131
450000,0.0000,1.4732
455000,0.0000,1.3772
460000,0.0000,1.4085
465000,0.0000,1.7052
470000,0.0000,1.4039
475000,0.0000,1.3816
480000,0.0000,1.6531
485000,0.0000,1.2729
490000,0.0000,1.3885
495000,0.0000,1.6288
500000,0.0000,1.2752
505000,0.0000,1.3988
510000,0.0000,1.4426
515000,0.0000,1.3226
520000,0.0000,1.3434
525000,0.0000,1.6106
530000,0.0000,1.2287
535000,0.0000,1.3840
540000,0.0000,1.5837
545000,0.0000,1.4895
550000,0.0000,1.3895
555000,0.0000,1.5139
560000,0.0000,1.6818
565000,0.0000,1.7900
570000,0.0000,1.4153
575000,0.0000,1.7058
580000,0.0000,1.4632
585000,0.0000,1.6471
590000,0.0000,1.5533
595000,0.0000,1.4829
600000,0.0000,1.7610
605000,0.0000,1.5481
610000,0.0000,1.5358
615000,0.0000,1.5372
620000,0.0000,1.6350
625000,0.0000,1.6083
630000,0.0000,1.5294
635000,0.0000,1.6994
640000,0.0000,1.5967
645000,0.0000,1.6676
650000,0.0000,1.4434
655000,0.0000,1.6323
660000,0.0000,1.6881
665000,0.0000,1.7173
670000,0.0000,1.6320
675000,0.0000,1.5055
680000,0.0000,1.4872
685000,0.0000,1.5570
690000,0.0000,1.4862
695000,0.0000,1.4840
700000,0.0000,1.5866
705000,0.0000,1.4280
710000,0.0000,1.3532
715000,0.0000,1.1840
720000,0.0000,1.5343
725000,0.0000,1.5035
730000,0.0000,1.3892
735000,0.0000,1.4853
740000,0.0000,1.5084
745000,0.0000,1.3515
750000,0.0000,1.3744
755000,0.0000,1.1279
760000,0.0000,1.4645
765000,0.0000,0.9841
770000,0.0000,1.3902
775000,0.0000,1.6537
780000,0.0000,1.4712
785000,0.0000,1.1773
790000,0.0000,1.6551
795000,0.0000,1.5417
800000,0.0000,1.3082
805000,0.0000,1.4387
810000,0.0000,1.5556
815000,0.0000,1.6040
820000,0.0000,1.6979
825000,0.0000,1.5845
830000,0.0000,1.6704
835000,0.0000,1.7390
840000,0.0000,1.4469
845000,0.0000,1.4564
850000,0.0000,1.6167
855000,0.0000,1.4414
860000,0.0000,1.5407
865000,0.0000,1.4174
870000,0.0000,1.5669
875000,0.0000,1.5358
880000,0.0000,1.6019
885000,0.0000,1.4285
890000,0.0000,1.6631
895000,0.0000,1.0501
900000,0.0000,1.5541
905000,0.0000,1.4720
910000,0.0000,1.6699
915000,0.0000,1.6022
920000,0.0000,1.4162
925000,0.0000,1.9112
930000,0.0000,1.4459
935000,0.0000,1.6301
940000,0.0000,1.7962
945000,0.0000,1.8093
950000,0.0000,1.5590
955000,0.0000,1.6143
960000,0.0000,1.5366
965000,0.0000,1.3556
970000,0.0000,1.4083
975000,0.0000,1.5181
980000,0.0000,1.6238
985000,0.0000,1.7435
990000,0.0000,1.5159
995000,0.0000,1.7254
1000000,0.0000,1.5536
1005000,0.0000,1.3672
1010000,0.0000,1.5993
1015000,0.0000,1.5063
1020000,0.0000,1.6046
1025000,0.0000,1.5031
1030000,0.0000,1.5389
1035000,0.0000,1.6419
1040000,0.0000,1.8233
1045000,0.0000,1.6929
1050000,0.0000,1.1776
1055000,0.0000,1.5249
1060000,0.0000,1.6607
1065000,0.0000,1.7445
1070000,0.0000,1.7688
1075000,0.0000,1.6533
1080000,0.0000,1.7397
1085000,0.0000,1.8470
1090000,0.0000,1.9774
1095000,0.0000,0.9851
1100000,0.0000,1.6388
1105000,0.0000,1.8406
1110000,0.0000,1.3072
1115000,0.0000,1.4514
1120000,0.0000,1.3548
1125000,0.0000,1.4328
1130000,0.0000,1.3957
1135000,0.0000,1.3871
1140000,0.0000,1.5942
1145000,0.0000,1.4308
1150000,0.0000,1.7982
1155000,0.0000,1.6684
1160000,0.0000,1.7551
1165000,0.0000,1.6237
1170000,0.0000,1.7949
1175000,0.0000,1.6826
1180000,0.0000,1.6585
1185000,0.0000,1.9600
1190000,0.0000,1.4628
1195000,0.0000,1.6209
1200000,0.0000,1.6031
1205000,0.0000,1.4649
1210000,0.0000,1.6993
1215000,0.0000,1.6203
1220000,0.0000,1.6575
1225000,0.0000,1.4032
1230000,0.0000,1.5774
1235000,0.0000,1.7591
1240000,0.0000,1.7423
1245000,0.0000,1.6769
1250000,0.0000,1.4312
1255000,0.0000,1.6347
1260000,0.0000,1.3490
1265000,0.0000,1.5991
1270000,0.0000,1.6247
1275000,0.0000,1.0816
1280000,0.0000,1.4138
1285000,0.0000,1.6901
1290000,0.0000,1.3326
1295000,0.0000,1.3262
1300000,0.0000,1.6158
1305000,0.0000,1.4631
1310000,0.0000,1.5803
1315000,0.0000,1.5106
1320000,0.0000,1.6346
1325000,0.0000,1.7482
1330000,0.0000,1.6562
1335000,0.0000,1.3909
1340000,0.0000,1.0321
1345000,0.0000,1.4138
1350000,0.0000,1.7428
1355000,0.0000,1.3998
1360000,0.0000,1.6348
1365000,0.0000,1.5518
1370000,0.0000,1.5369
1375000,0.0000,1.7019
1380000,0.0000,1.6886
1385000,0.0000,1.5999
1390000,0.0000,1.4156
1395000,0.0000,1.4935
1400000,0.0000,1.3167
1405000,0.0000,1.4901
1410000,0.0000,1.5141
1415000,0.0000,1.4984
1420000,0.0000,1.4707
1425000,0.0000,1.3452
1430000,0.0000,1.5911
1435000,0.0000,1.5465
1440000,0.0000,1.5570
1445000,0.0000,1.4651
1450000,0.0000,1.5405
1455000,0.0000,1.6021
1460000,0.0000,1.4259
1465000,0.0000,1.6625
1470000,0.0000,1.3929
1475000,0.0000,1.6943
1480000,0.0000,1.3721
1485000,0.0000,1.3799
1490000,0.0000,1.4871
1495000,0.0000,1.6886
1500000,0.0000,1.6396
1505000,0.0000,1.5049
1510000,0.0000,1.5813
1515000,0.0000,1.5415
1520000,0.0000,1.6897
1525000,0.0000,1.4839
1530000,0.0000,1.6608
1535000,0.0000,1.4776
1540000,0.0000,1.5402
1545000,0.0000,1.4420
1550000,0.0000,1.5086
1555000,0.0000,1.8698
1560000,0.0000,1.4824
1565000,0.0000,1.5318
1570000,0.0000,1.4736
1575000,0.0000,1.8881
1580000,0.0000,1.3938
1585000,0.0000,1.8215
1590000,0.0000,1.6594
1595000,0.0000,1.4605
1600000,0.0000,1.6847
1605000,0.0000,1.6334
1610000,0.0000,1.6076
1615000,0.0000,1.7112
1620000,0.0000,1.7010
1625000,0.0000,1.6755
1630000,0.0000,1.8302
