frames,reward,dist
5000,0.0000,7.2908
10000,0.0000,13.8342
15000,0.0000,5.7789
20000,0.0000,13.9906
25000,0.0000,14.0353
30000,0.0000,14.0149
35000,0.0000,14.0355
40000,0.0000,14.0962
45000,0.0000,14.0870
50000,0.0000,14.1323
55000,0.0000,4.8120
60000,0.0000,14.1188
65000,0.0000,14.0918
70000,0.0000,10.8612
75000,0.0000,14.1067
80000,0.0000,10.3036
85000,0.0000,10.1832
90000,0.0000,14.0817
95000,0.0000,12.5627
100000,0.0000,14.1389
105000,0.0000,8.3187
110000,0.0000,13.4154
115000,0.0000,8.2718
120000,0.0000,12.1978
125000,0.0000,12.7880
130000,0.0000,8.7446
135000,0.0000,10.2640
140000,0.0000,9.6159
145000,0.0000,9.3642
150000,0.0000,11.3978
155000,0.0000,12.9356
160000,0.0000,9.4339
165000,0.0000,11.8303
170000,0.0000,6.5776
175000,0.0000,10.4302
180000,0.0000,9.6067
185000,0.0000,7.7955
190000,0.0000,10.5134
195000,0.0000,10.4373
200000,0.0000,9.4031
205000,0.0000,9.4419
210000,0.0000,12.6089
215000,0.0000,8.8123
220000,0.0000,9.9193
225000,0.0000,10.5084
230000,0.0000,8.5675
235000,0.0000,8.1036
240000,0.0000,12.2222
245000,0.0000,6.2166
250000,0.0000,7.2762
255000,0.0000,8.1164
260000,0.0000,10.7431
265000,0.0000,10.8258
270000,0.0000,10.6932
275000,0.0000,9.4653
280000,0.0000,10.8609
285000,0.0000,11.4522
290000,0.0000,10.6092
295000,0.0000,10.7584
300000,0.0000,10.9568
305000,0.0000,9.6564
310000,0.0000,11.6110
315000,0.0000,11.6583
320000,0.0000,12.0252
325000,0.0000,12.2859
330000,0.0000,13.0590
335000,0.0000,11.3993
340000,0.0000,11.6249
345000,0.0000,11.3909
350000,0.0000,11.0460
355000,0.0000,12.1705
360000,0.0000,8.5510
365000,0.0000,11.3898
370000,0.0000,11.8835
375000,0.0000,12.2946
380000,0.0000,11.0046
385000,0.0000,11.4745
390000,0.0000,11.7637
395000,0.0000,10.9163
400000,0.0000,9.5413
405000,0.0000,12.3524
410000,0.0000,12.3767
415000,0.0000,11.7098
420000,0.0000,12.1513
425000,0.0000,11.9447
430000,0.0000,12.9670
435000,0.0000,10.0941
440000,0.0000,9.8381
445000,0.0000,11.2440
450000,0.0000,12.4668
455000,0.2000,11.5839
460000,0.0000,10.2484
465000,0.0000,9.3958
470000,0.0000,10.8595
475000,0.0000,10.0365
480000,0.0000,9.4636
485000,0.0000,10.8026
490000,0.0000,8.4153
495000,0.0000,9.0014
500000,0.0000,10.1770
505000,0.0000,10.4340
510000,0.0000,8.8979
515000,0.0000,10.2025
520000,0.0000,10.5004
525000,0.0000,9.6511
530000,0.2000,10.9869
535000,0.0000,9.7010
540000,0.0000,10.3703
545000,0.0000,10.4440
550000,0.0000,12.4968
555000,0.0000,11.4982
560000,0.0000,11.6851
565000,0.0000,10.7712
570000,0.0000,12.0488
575000,0.0000,11.7616
580000,0.0000,11.6449
585000,0.0000,11.2880
590000,0.0000,12.2554
595000,0.0000,12.4978
600000,0.4000,12.4174
605000,0.0000,11.7447
610000,0.2000,11.9376
615000,0.0000,12.4491
620000,1.0000,11.4118
625000,0.4000,11.2318
630000,0.8000,10.7949
635000,0.0000,11.4602
640000,0.0000,11.3034
645000,0.0000,10.8671
650000,0.0000,11.0544
655000,0.0000,10.9203
660000,0.0000,10.0206
665000,0.0000,10.9265
670000,0.0000,10.8193
675000,0.0000,10.7228
680000,0.2000,10.6642
685000,0.0000,10.6272
690000,0.0000,11.7775
695000,0.0000,11.6968
700000,0.2000,10.7294
705000,0.0000,10.9356
710000,0.0000,10.7895
715000,0.0000,11.5620
720000,0.4000,11.3239
725000,0.6000,11.8233
730000,0.0000,10.7935
735000,0.8000,11.0129
740000,0.0000,11.0812
745000,0.0000,11.8548
750000,0.4000,11.2474
755000,0.4000,10.0310
760000,0.4000,11.4150
765000,0.2000,11.5631
770000,0.6000,10.9935
775000,0.4000,10.2886
780000,0.4000,10.9002
785000,0.0000,10.4598
790000,0.0000,10.7110
795000,0.4000,10.9015
800000,1.0000,11.4349
805000,0.6000,11.2343
810000,0.0000,12.1132
815000,0.8000,11.2216
820000,0.4000,10.5313
825000,0.2000,12.2951
830000,0.2000,12.3299
835000,0.6000,11.6398
840000,0.8000,12.2157
845000,0.8000,11.4467
850000,0.6000,10.6423
855000,0.4000,12.2872
860000,0.4000,11.3535
865000,0.2000,11.5999
870000,0.0000,11.7651
875000,0.2000,11.9352
