frames,reward,dist
5000,0.0000,11.2836
10000,0.0000,8.5532
15000,0.0000,10.5182
20000,0.0000,10.6573
25000,0.0000,9.8827
30000,0.0000,7.9287
35000,0.0000,4.2895
40000,0.0000,6.0795
45000,0.0000,4.9365
50000,0.0000,5.3001
55000,0.0000,1.0151
60000,0.0000,1.3308
65000,0.0000,2.0847
70000,0.0000,2.3714
75000,0.0000,1.4459
80000,0.0000,2.9776
85000,0.0000,2.4443
90000,0.0000,2.6009
95000,0.0000,2.6953
100000,0.0000,1.7812
105000,0.0000,1.0282
110000,0.0000,0.6995
115000,0.0000,1.3622
120000,0.0000,1.2777
125000,0.0000,1.2815
130000,0.0000,1.3128
135000,0.0000,1.2460
140000,0.0000,1.2710
145000,0.0000,1.4189
150000,0.0000,1.1705
155000,0.0000,1.2451
160000,0.0000,1.2675
165000,0.0000,1.2570
170000,0.0000,1.2227
175000,0.0000,1.4039
180000,0.0000,1.0518
185000,0.0000,1.1953
190000,0.0000,0.9408
195000,0.0000,0.8908
200000,0.0000,0.8347
205000,0.0000,0.8769
210000,0.0000,0.9679
215000,0.0000,0.9183
220000,0.0000,0.8096
225000,0.0000,1.1802
230000,0.0000,0.9930
235000,0.0000,0.6736
240000,0.0000,0.6573
245000,0.0000,0.8547
250000,0.0000,0.9548
255000,0.0000,0.7007
260000,0.0000,0.5998
265000,0.0000,0.4570
270000,0.0000,0.8246
275000,0.0000,0.8696
280000,0.0000,0.7759
285000,0.0000,0.6277
290000,0.0000,0.8219
295000,0.0000,0.9396
300000,0.0000,0.6140
305000,0.0000,0.9200
310000,0.0000,0.6527
315000,0.0000,0.8927
320000,0.0000,0.7639
325000,0.0000,0.5654
330000,0.0000,0.7705
335000,0.0000,0.8600
340000,0.0000,0.9711
345000,0.0000,1.0376
350000,0.0000,1.1659
355000,0.0000,1.2857
360000,0.0000,1.4332
365000,0.0000,1.5090
370000,0.0000,1.3709
375000,0.0000,1.3644
380000,0.0000,1.4242
385000,0.0000,1.4708
390000,0.0000,1.1944
395000,0.0000,1.3601
400000,0.0000,1.3391
405000,0.0000,0.8627
410000,0.0000,1.3965
415000,0.0000,1.3436
420000,0.0000,1.3996
425000,0.0000,1.5542
430000,0.0000,1.3551
435000,0.0000,1.5199
440000,0.0000,1.4487
445000,0.0000,1.3712
450000,0.0000,1.5850
455000,0.0000,1.3007
460000,0.0000,1.3113
465000,0.0000,1.4701
470000,0.0000,1.5167
475000,0.0000,1.4202
480000,0.0000,1.8164
485000,0.0000,1.4376
490000,0.0000,1.4305
495000,0.0000,1.6385
500000,0.0000,1.4781
505000,0.0000,1.8138
510000,0.0000,1.3573
515000,0.0000,1.2479
520000,0.0000,1.3625
525000,0.0000,1.5788
530000,0.0000,1.3406
535000,0.0000,1.4153
540000,0.0000,1.3279
545000,0.0000,1.3531
550000,0.0000,1.3736
555000,0.0000,1.2268
560000,0.0000,1.1352
565000,0.0000,1.0498
570000,0.0000,1.6364
575000,0.0000,1.4871
580000,0.0000,1.2547
585000,0.2000,1.3375
590000,0.0000,1.3131
595000,0.0000,1.2990
600000,0.0000,1.1461
605000,0.0000,1.0163
610000,0.0000,0.9372
615000,0.0000,1.1709
620000,0.0000,1.0642
625000,0.0000,1.3628
630000,0.0000,1.5372
635000,0.0000,1.5204
640000,0.0000,1.5234
645000,0.0000,1.3523
650000,0.0000,1.4970
655000,0.0000,1.2842
660000,0.0000,1.2791
665000,0.0000,1.5442
670000,0.0000,1.4973
675000,0.0000,1.3332
680000,0.0000,1.2833
685000,0.0000,1.2489
690000,0.0000,1.2232
695000,0.0000,1.3106
700000,0.0000,1.0809
705000,0.0000,1.5028
710000,0.0000,1.2805
715000,0.0000,1.2915
720000,0.0000,1.3918
725000,0.0000,1.3312
730000,0.0000,1.2100
735000,0.0000,1.0127
740000,0.0000,1.1216
745000,0.0000,1.0676
750000,0.0000,0.9751
755000,0.0000,1.2708
760000,0.0000,0.8559
765000,0.0000,1.2016
770000,0.0000,0.9483
775000,0.0000,1.0027
780000,0.0000,1.0530
785000,0.0000,1.1609
790000,0.2000,1.1059
795000,0.0000,1.2070
800000,0.6000,1.1265
805000,0.4000,1.1192
810000,0.0000,1.0552
815000,0.0000,1.2040
820000,0.0000,0.9500
825000,0.0000,1.1741
830000,0.0000,1.2347
835000,0.0000,1.1280
840000,0.0000,1.1919
845000,0.0000,1.0863
850000,0.0000,1.1526
855000,0.0000,1.1630
860000,0.0000,1.1136
865000,0.0000,1.0479
870000,0.0000,1.2425
875000,0.0000,1.1289
880000,0.0000,1.1334
885000,0.0000,1.1614
890000,0.0000,1.1586
895000,0.0000,1.1128
900000,0.0000,1.1083
905000,0.6000,1.2233
910000,0.6000,1.2444
915000,0.0000,1.2292
920000,0.0000,1.3888
925000,0.0000,1.3048
930000,0.0000,1.5237
935000,0.0000,1.6103
