frames,reward,dist
5000,0.0000,3.5186
10000,0.0000,5.8124
15000,0.0000,5.3563
20000,0.0000,2.7508
25000,0.0000,4.2605
30000,0.0000,4.0348
35000,0.0000,3.4241
40000,0.0000,4.0571
45000,0.0000,4.6551
50000,0.0000,3.9450
55000,0.0000,0.8120
60000,0.0000,1.0550
65000,0.0000,1.2112
70000,0.0000,1.3664
75000,0.0000,1.3559
80000,0.0000,1.4058
85000,0.0000,1.1916
90000,0.0000,1.4420
95000,0.0000,1.3627
100000,0.0000,1.4073
105000,0.0000,1.5170
110000,0.0000,1.6197
115000,0.0000,1.5177
120000,0.0000,1.4936
125000,0.0000,1.2868
130000,0.0000,1.5021
135000,0.0000,1.5173
140000,0.0000,1.4841
145000,0.0000,1.3989
150000,0.0000,1.4496
155000,0.0000,1.6082
160000,0.0000,1.5426
165000,0.0000,1.4699
170000,0.0000,1.5023
175000,0.0000,1.2054
180000,0.0000,1.3134
185000,0.0000,1.4383
190000,0.0000,1.2253
195000,0.0000,1.4987
200000,0.0000,1.0992
205000,0.0000,1.2742
210000,0.0000,1.4350
215000,0.0000,0.9352
220000,0.0000,1.3941
225000,0.0000,1.4457
230000,0.0000,1.4804
235000,0.0000,1.2171
240000,0.0000,1.1268
245000,0.0000,1.5953
250000,0.0000,1.7350
255000,0.0000,1.0211
260000,0.0000,1.1547
265000,0.0000,1.3055
270000,0.0000,1.0751
275000,0.0000,1.0838
280000,0.0000,1.2380
285000,0.0000,1.2711
290000,0.0000,1.2561
295000,0.0000,1.1123
300000,0.0000,1.3539
305000,0.0000,1.2348
310000,0.0000,1.4210
315000,0.0000,1.4792
320000,0.0000,1.3265
325000,0.0000,1.4238
330000,0.0000,1.4150
335000,0.0000,1.5889
340000,0.0000,1.3478
345000,0.0000,1.4197
350000,0.0000,1.3520
355000,0.0000,1.4795
360000,0.0000,1.5224
365000,0.0000,1.4943
370000,0.0000,1.4543
375000,0.0000,1.5272
380000,0.0000,1.5261
385000,0.0000,1.3091
390000,0.0000,1.5564
395000,0.0000,1.1781
400000,0.0000,1.3341
405000,0.0000,1.6372
410000,0.0000,1.4023
415000,0.0000,1.5035
420000,0.0000,1.6630
425000,0.0000,1.5057
430000,0.0000,1.4123
435000,0.0000,1.2468
440000,0.0000,1.6414
445000,0.0000,1.1979
450000,0.0000,1.7730
455000,0.0000,1.1957
460000,0.0000,1.6854
465000,0.0000,1.8641
470000,0.0000,1.0808
475000,0.0000,1.6419
480000,0.0000,1.3901
485000,0.0000,1.6429
490000,0.0000,1.3730
495000,0.0000,1.1485
500000,0.0000,1.3744
505000,0.0000,1.5126
510000,0.0000,1.3641
515000,0.0000,1.8221
520000,0.0000,1.5678
525000,0.0000,1.5914
530000,0.0000,1.6375
535000,0.0000,0.9306
540000,0.0000,1.6090
545000,0.0000,1.7566
550000,0.0000,1.7378
555000,0.0000,1.3159
560000,0.0000,1.6736
565000,0.0000,1.5335
570000,0.0000,1.6838
575000,0.0000,1.6630
580000,0.0000,1.6169
585000,0.0000,1.3293
590000,0.0000,1.4834
595000,0.0000,1.6254
600000,0.0000,1.3964
605000,0.0000,1.4805
610000,0.0000,1.2988
615000,0.0000,1.2846
620000,0.0000,1.3500
625000,0.0000,1.5627
630000,0.0000,1.4690
635000,0.0000,1.4295
640000,0.0000,1.2632
645000,0.0000,1.3489
650000,0.0000,1.0000
655000,0.0000,1.2775
660000,0.0000,1.3386
665000,0.0000,1.3120
670000,0.0000,1.4260
675000,0.0000,1.1991
680000,0.0000,1.1850
685000,0.0000,1.2788
690000,0.0000,1.0917
695000,0.0000,1.1211
700000,0.2000,1.1507
705000,0.0000,1.1114
710000,0.0000,1.4465
715000,0.0000,1.2358
720000,0.0000,1.2425
725000,0.2000,1.2829
730000,0.0000,1.1047
735000,0.0000,1.1047
740000,0.0000,1.2866
745000,0.0000,1.2374
750000,0.0000,1.4907
755000,0.0000,1.3358
760000,0.0000,1.3569
765000,0.0000,1.3892
770000,0.0000,1.5316
775000,0.0000,1.1404
780000,0.0000,1.0471
785000,0.0000,1.3978
790000,0.0000,1.4269
795000,0.0000,1.1651
800000,0.0000,1.0664
805000,0.0000,1.0582
810000,0.0000,1.1024
815000,0.0000,1.1095
820000,0.0000,1.5576
825000,0.0000,0.9682
830000,0.0000,1.0383
835000,0.0000,1.2115
840000,0.0000,1.1908
845000,0.0000,1.1867
850000,0.0000,1.1847
855000,0.0000,1.4554
860000,0.0000,1.1850
865000,0.0000,1.4728
870000,0.0000,1.5685
875000,0.0000,1.0938
880000,0.0000,1.1354
885000,0.0000,1.3064
890000,0.0000,1.0234
895000,0.0000,1.0035
900000,0.0000,1.0376
905000,0.0000,1.1191
910000,0.0000,1.0489
915000,0.0000,1.1816
920000,0.0000,1.2099
925000,0.0000,0.9234
930000,0.0000,1.5822
935000,0.0000,1.0625
940000,0.0000,1.1815
945000,0.0000,1.1698
950000,0.0000,1.2791
955000,0.0000,1.0288
960000,0.0000,1.1236
965000,0.0000,1.2814
970000,0.0000,1.2970
975000,0.0000,1.2860
980000,0.0000,1.3402
985000,0.0000,1.2412
990000,0.0000,1.2273
995000,0.0000,1.2039
1000000,0.0000,1.3991
1005000,0.0000,1.3639
1010000,0.0000,1.3662
1015000,0.0000,1.2571
1020000,0.0000,1.3215
1025000,0.0000,1.3649
1030000,0.0000,1.2116
1035000,0.0000,1.2225
1040000,0.0000,1.4515
1045000,0.0000,1.7891
1050000,0.0000,1.2778
1055000,0.0000,1.3517
1060000,0.0000,1.3000
1065000,0.0000,1.3518
1070000,0.0000,1.4586
1075000,0.2000,1.1173
1080000,0.6000,1.2943
1085000,0.0000,1.1193
1090000,0.0000,1.2397
1095000,0.0000,1.0277
1100000,0.4000,1.2071
1105000,1.0000,1.4101
1110000,1.0000,1.4629
1115000,0.6000,1.7038
1120000,1.0000,1.4229
1125000,1.0000,1.4144
1130000,1.0000,1.4119
1135000,1.0000,1.5499
1140000,1.0000,1.5498
1145000,1.0000,1.4689
1150000,0.8000,1.7511
1155000,0.8000,1.5801
1160000,0.8000,1.5741
1165000,1.0000,1.5300
1170000,1.0000,1.5747
1175000,0.0000,1.0850
1180000,1.0000,1.4788
1185000,0.6000,1.1238
1190000,1.0000,1.5544
1195000,1.0000,1.4884
1200000,0.8000,1.5392
1205000,1.0000,1.5265
1210000,0.8000,1.6144
1215000,0.8000,1.6633
1220000,1.0000,1.5219
1225000,1.0000,1.4707
1230000,0.8000,1.4975
1235000,1.0000,1.5578
1240000,1.0000,1.4203
1245000,0.8000,1.6453
1250000,1.0000,1.5942
1255000,1.0000,1.5581
1260000,0.8000,1.8054
1265000,1.0000,1.5736
1270000,0.6000,1.7464
1275000,0.8000,1.6839
1280000,0.8000,1.7518
1285000,1.0000,1.5160
1290000,1.0000,1.5810
1295000,1.0000,1.6146
1300000,0.8000,1.9175
1305000,0.6000,1.6971
1310000,1.0000,1.5653
1315000,1.0000,1.6280
1320000,1.0000,1.5671
1325000,1.0000,1.5208
1330000,0.8000,1.6280
1335000,1.0000,1.5973
1340000,1.0000,1.6332
1345000,1.0000,1.6307
1350000,1.0000,1.6201
1355000,0.8000,1.5298
1360000,1.0000,1.5890
1365000,1.0000,1.6036
1370000,0.6000,1.5397
1375000,1.0000,1.5390
1380000,0.8000,1.6586
1385000,1.0000,1.6395
1390000,1.0000,1.5711
1395000,1.0000,1.5642
1400000,0.8000,1.4689
1405000,0.8000,1.7664
1410000,1.0000,1.5450
1415000,1.0000,1.6193
1420000,0.8000,1.7085
1425000,1.0000,1.6511
1430000,1.0000,1.6818
1435000,1.0000,1.5854
1440000,1.0000,1.6438
1445000,0.8000,1.6339
1450000,1.0000,1.7120
1455000,1.0000,1.6334
1460000,1.0000,1.5869
1465000,0.8000,1.5832
1470000,1.0000,1.6146
1475000,0.8000,1.8541
1480000,1.0000,1.6076
1485000,0.8000,1.6971
1490000,1.0000,1.5937
1495000,1.0000,1.6077
1500000,1.0000,1.5979
1505000,1.0000,1.4918
1510000,0.8000,1.7012
1515000,1.0000,1.5952
1520000,1.0000,1.5432
1525000,1.0000,1.5706
1530000,1.0000,1.6010
1535000,0.8000,1.4962
1540000,0.8000,1.5357
1545000,0.8000,1.4939
1550000,0.8000,1.6623
1555000,1.0000,1.6142
1560000,0.6000,1.6872
1565000,1.0000,1.6299
1570000,1.0000,1.6309
1575000,1.0000,1.6172
1580000,1.0000,1.6192
1585000,1.0000,1.6187
1590000,1.0000,1.6434
1595000,1.0000,1.6299
1600000,0.8000,1.7235
1605000,1.0000,1.7128
1610000,0.4000,1.7251
1615000,0.8000,1.5303
1620000,0.4000,1.7654
1625000,0.8000,1.6672
1630000,0.8000,1.7285
1635000,0.8000,1.7227
1640000,0.8000,1.6844
1645000,1.0000,1.6811
1650000,0.6000,1.5882
1655000,1.0000,1.6640
1660000,0.8000,1.5912
1665000,1.0000,1.5976
1670000,1.0000,1.6272
1675000,0.8000,1.7045
1680000,0.8000,1.7158
1685000,1.0000,1.6305
1690000,1.0000,1.6503
1695000,1.0000,1.6037
1700000,1.0000,1.6088
1705000,1.0000,1.7383
1710000,0.8000,1.6771
1715000,1.0000,1.7275
1720000,0.8000,1.5897
1725000,1.0000,1.7877
1730000,1.0000,1.6812
1735000,1.0000,1.7193
1740000,0.8000,1.6941
1745000,1.0000,1.7315
1750000,0.8000,1.8036
1755000,0.8000,1.7410
1760000,0.8000,1.8074
1765000,1.0000,1.6482
1770000,1.0000,1.6752
1775000,1.0000,1.6727
1780000,0.8000,1.7102
1785000,1.0000,1.6371
1790000,0.4000,1.6142
1795000,1.0000,1.6123
1800000,1.0000,1.6955
1805000,1.0000,1.6049
1810000,1.0000,1.6844
1815000,1.0000,1.6764
1820000,1.0000,1.6531
1825000,1.0000,1.6372
1830000,0.8000,1.6296
1835000,1.0000,1.6014
1840000,1.0000,1.6648
1845000,0.8000,1.6500
1850000,1.0000,1.6495
1855000,1.0000,1.5287
1860000,1.0000,1.6323
1865000,0.8000,1.6007
1870000,1.0000,1.5756
1875000,1.0000,1.5735
1880000,0.8000,1.5107
1885000,1.0000,1.6351
1890000,1.0000,1.6047
1895000,1.0000,1.5581
1900000,1.0000,1.6848
1905000,1.0000,1.7781
1910000,0.8000,1.6314
1915000,1.0000,1.7279
1920000,1.0000,1.6983
1925000,1.0000,1.6905
1930000,0.8000,1.7471
1935000,1.0000,1.6556
1940000,1.0000,1.7516
1945000,1.0000,1.7135
1950000,1.0000,1.6978
1955000,0.8000,1.7447
1960000,1.0000,1.6478
1965000,0.8000,1.9066
1970000,1.0000,1.5983
1975000,1.0000,1.7013
1980000,0.8000,1.7627
1985000,1.0000,1.5800
1990000,1.0000,1.7145
1995000,1.0000,1.6626
2000000,1.0000,1.7070
2005000,1.0000,1.6223
2010000,1.0000,1.6961
2015000,1.0000,1.6693
2020000,0.6000,1.7301
2025000,1.0000,1.6659
2030000,1.0000,1.6880
2035000,1.0000,1.7107
2040000,1.0000,1.7031
2045000,1.0000,1.7343
2050000,0.8000,1.6375
2055000,1.0000,1.7154
2060000,1.0000,1.7270
2065000,0.8000,1.7760
2070000,1.0000,1.7364
2075000,1.0000,1.8006
2080000,1.0000,1.7180
2085000,1.0000,1.7189
2090000,1.0000,1.7783
2095000,0.6000,1.9897
2100000,1.0000,1.7573
2105000,1.0000,1.7509
2110000,1.0000,1.6947
2115000,1.0000,1.6804
2120000,0.8000,1.7931
2125000,1.0000,1.7158
2130000,1.0000,1.6726
2135000,1.0000,1.7407
2140000,0.8000,1.6332
2145000,1.0000,1.7774
2150000,1.0000,1.6469
2155000,1.0000,1.6954
2160000,0.8000,1.8414
2165000,1.0000,1.7590
2170000,1.0000,1.7611
2175000,1.0000,1.7052
2180000,1.0000,1.7258
2185000,0.8000,1.7614
2190000,1.0000,1.7379
2195000,0.8000,1.7829
2200000,1.0000,1.7137
2205000,0.6000,1.7954
2210000,1.0000,1.6857
2215000,1.0000,1.7376
2220000,1.0000,1.6614
2225000,0.8000,1.8979
2230000,1.0000,1.6993
2235000,1.0000,1.7169
2240000,0.8000,1.7827
2245000,0.8000,1.5701
2250000,1.0000,1.6886
2255000,1.0000,1.7263
2260000,1.0000,1.7281
2265000,1.0000,1.7188
2270000,1.0000,1.7160
2275000,1.0000,1.7052
2280000,1.0000,1.6667
2285000,1.0000,1.6894
2290000,0.8000,1.7711
2295000,1.0000,1.6421
2300000,1.0000,1.6452
2305000,1.0000,1.6708
2310000,1.0000,1.6869
2315000,0.8000,1.4877
2320000,1.0000,1.7031
2325000,1.0000,1.6968
2330000,1.0000,1.5864
2335000,1.0000,1.6242
2340000,1.0000,1.6711
2345000,1.0000,1.6778
2350000,1.0000,1.6862
2355000,1.0000,1.6228
2360000,1.0000,1.6802
2365000,1.0000,1.6927
2370000,1.0000,1.6362
2375000,1.0000,1.6817
2380000,1.0000,1.6472
2385000,1.0000,1.6904
2390000,1.0000,1.6952
2395000,1.0000,1.7058
2400000,1.0000,1.6958
2405000,1.0000,1.7468
2410000,1.0000,1.7745
2415000,1.0000,1.7348
2420000,1.0000,1.7001
2425000,1.0000,1.7827
2430000,1.0000,1.7832
2435000,1.0000,1.7226
2440000,1.0000,1.7509
2445000,1.0000,1.8022
2450000,0.8000,1.9868
2455000,1.0000,1.6861
2460000,1.0000,1.6599
2465000,1.0000,1.6813
2470000,1.0000,1.7079
2475000,0.8000,1.7625
2480000,1.0000,1.6891
2485000,0.6000,1.8112
2490000,1.0000,1.6494
2495000,1.0000,1.7128
2500000,1.0000,1.7480
2505000,1.0000,1.7432
2510000,1.0000,1.6693
2515000,0.8000,1.8988
2520000,1.0000,1.7540
2525000,1.0000,1.6604
2530000,1.0000,1.8019
2535000,0.8000,1.7926
2540000,1.0000,1.7704
2545000,1.0000,1.7195
2550000,1.0000,1.7335
2555000,1.0000,1.7142
2560000,1.0000,1.7494
2565000,0.8000,1.7558
2570000,1.0000,1.7554
2575000,1.0000,1.7567
2580000,1.0000,1.7226
2585000,1.0000,1.7184
2590000,1.0000,1.7585
2595000,1.0000,1.7072
2600000,1.0000,1.7810
2605000,1.0000,1.6993
2610000,0.8000,1.8045
2615000,1.0000,1.7130
2620000,0.8000,1.8369
2625000,1.0000,1.7696
2630000,1.0000,1.7857
2635000,0.8000,1.8093
2640000,1.0000,1.7959
2645000,0.6000,1.9530
2650000,0.8000,1.8628
2655000,0.8000,1.8227
2660000,1.0000,1.7491
2665000,0.8000,1.8102
2670000,1.0000,1.7890
2675000,1.0000,1.7889
2680000,1.0000,1.7506
2685000,1.0000,1.8271
2690000,0.8000,1.8395
2695000,1.0000,1.7960
2700000,1.0000,1.7771
2705000,1.0000,1.7374
2710000,1.0000,1.7458
2715000,0.6000,1.8811
2720000,0.8000,1.8491
2725000,1.0000,1.7678
2730000,1.0000,1.7877
2735000,1.0000,1.7282
2740000,0.8000,1.8311
2745000,1.0000,1.7545
2750000,1.0000,1.7145
2755000,1.0000,1.7007
2760000,0.8000,1.7643
2765000,0.8000,1.8023
