frames,reward,dist
5000,0.0000,4.7608
10000,0.0000,8.4048
15000,0.0000,11.6406
20000,0.0000,9.5792
25000,0.0000,6.3308
30000,0.0000,5.6122
35000,0.0000,12.5801
40000,0.0000,11.4011
45000,0.0000,12.1761
50000,0.0000,10.0929
55000,0.0000,13.2719
60000,0.0000,13.0764
65000,0.0000,13.5924
70000,0.0000,13.5838
75000,0.0000,13.6127
80000,0.0000,13.6072
85000,0.0000,13.6930
90000,0.0000,13.7350
95000,0.0000,13.6588
100000,0.0000,13.4359
105000,0.0000,10.9662
110000,0.0000,7.7330
115000,0.0000,6.0875
120000,0.0000,10.5563
125000,0.0000,11.4020
130000,0.0000,10.9341
135000,0.0000,12.8742
140000,0.0000,11.4294
145000,0.6000,11.8149
150000,0.0000,12.6849
155000,0.2000,12.5294
160000,0.0000,11.6647
165000,0.2000,11.3758
170000,0.0000,11.4541
175000,0.0000,12.5071
180000,0.0000,10.1267
185000,0.0000,12.0666
190000,0.0000,9.1017
195000,0.0000,11.6916
200000,0.2000,9.7467
205000,0.8000,8.9063
210000,0.4000,9.2536
215000,0.0000,8.9926
220000,0.0000,9.9221
225000,0.0000,9.1851
230000,0.0000,8.2267
235000,0.0000,9.1714
240000,0.0000,9.5684
245000,0.0000,11.0482
250000,0.0000,12.0663
255000,0.0000,10.9019
260000,0.0000,11.2382
265000,0.0000,9.6501
270000,0.0000,12.2213
275000,0.0000,10.7885
280000,0.8000,8.9419
285000,0.4000,8.8882
290000,0.0000,11.9388
295000,0.0000,11.6522
300000,0.2000,10.3846
305000,0.6000,10.2432
310000,1.0000,8.1600
315000,0.0000,11.5882
320000,0.0000,10.7711
325000,1.0000,8.2204
330000,1.0000,8.5734
335000,0.0000,11.2341
340000,1.0000,8.8282
345000,1.0000,8.2397
350000,0.6000,8.7278
355000,0.2000,9.6557
360000,1.0000,7.8658
365000,0.0000,9.0267
370000,1.0000,7.9214
375000,0.0000,10.1787
380000,0.2000,10.3108
385000,0.0000,11.0292
390000,0.0000,10.7714
395000,1.0000,7.5338
400000,0.2000,10.5119
405000,0.6000,6.3843
410000,0.0000,7.6512
415000,0.2000,9.7418
420000,1.0000,6.8200
425000,1.0000,6.8098
430000,1.0000,6.5835
435000,0.4000,8.0818
440000,1.0000,5.9415
445000,1.0000,6.6352
450000,0.0000,7.4056
455000,0.0000,5.7987
460000,0.0000,6.4307
465000,0.0000,6.8950
470000,0.0000,6.6016
475000,0.0000,8.3253
480000,0.0000,6.8726
485000,0.0000,8.1460
490000,0.0000,8.3271
495000,0.0000,6.5227
500000,0.0000,6.7094
505000,0.0000,6.2934
510000,0.0000,6.6535
515000,0.0000,8.9959
520000,0.2000,6.1304
525000,0.0000,6.4309
530000,0.0000,6.3065
535000,0.0000,8.5499
540000,0.0000,6.2879
545000,0.0000,6.9915
550000,0.0000,6.2638
555000,0.0000,5.9830
560000,0.0000,6.3153
565000,0.0000,7.0303
570000,0.0000,5.7790
575000,0.0000,5.0838
580000,0.0000,4.6520
585000,0.0000,5.8690
590000,0.0000,7.0961
595000,0.0000,5.6401
600000,0.0000,6.9225
605000,0.0000,6.4322
610000,0.0000,7.4893
615000,0.0000,5.2497
620000,0.0000,6.9178
625000,0.0000,5.9362
630000,0.0000,6.9243
635000,0.0000,11.1205
640000,0.4000,8.4326
645000,1.0000,6.9243
650000,1.0000,7.9082
655000,0.2000,7.5427
660000,0.0000,7.2917
665000,0.0000,8.5804
670000,0.0000,8.9241
675000,0.0000,8.0170
680000,0.4000,6.4188
685000,0.0000,8.2906
690000,0.0000,8.2391
695000,0.0000,9.0345
700000,0.4000,8.3623
705000,0.0000,7.8444
710000,0.6000,8.7859
715000,0.0000,9.1286
720000,0.0000,9.6038
725000,0.0000,9.2742
730000,0.0000,8.8617
735000,0.0000,8.9611
740000,0.0000,7.1604
745000,0.0000,8.9113
750000,1.0000,7.3293
755000,0.6000,8.5671
760000,1.0000,6.8704
765000,0.2000,8.9128
770000,1.0000,7.3331
775000,1.0000,6.9392
780000,1.0000,7.7074
785000,0.2000,9.4824
790000,1.0000,7.9025
795000,0.8000,8.5512
800000,0.0000,7.2330
805000,1.0000,7.1179
810000,0.8000,6.5490
815000,0.2000,6.2055
820000,0.2000,5.9420
825000,0.8000,8.8520
830000,1.0000,7.6441
835000,1.0000,7.1022
840000,1.0000,6.7932
845000,1.0000,6.6676
850000,0.2000,7.7198
855000,0.0000,5.6766
860000,0.0000,6.8994
865000,1.0000,7.0728
870000,1.0000,7.4558
875000,1.0000,6.7607
880000,1.0000,7.8243
885000,0.0000,5.2788
890000,1.0000,7.3439
895000,0.0000,6.8744
900000,1.0000,8.9836
905000,1.0000,8.9081
910000,1.0000,9.5401
915000,1.0000,9.0510
920000,1.0000,9.2620
925000,1.0000,9.6225
930000,1.0000,9.2411
935000,1.0000,9.0326
940000,1.0000,9.1490
945000,1.0000,9.1986
950000,1.0000,9.5544
955000,1.0000,9.0890
960000,1.0000,8.6221
965000,1.0000,8.4560
970000,1.0000,8.7169
975000,1.0000,7.9800
980000,1.0000,8.3090
985000,1.0000,7.8739
990000,0.6000,7.9121
995000,1.0000,9.1400
1000000,1.0000,7.9318
1005000,1.0000,7.7027
1010000,1.0000,8.2830
1015000,1.0000,8.4172
1020000,1.0000,8.4922
1025000,0.6000,6.4498
1030000,0.8000,9.5509
1035000,1.0000,8.2560
1040000,1.0000,8.1408
1045000,1.0000,8.3608
1050000,1.0000,8.6038
1055000,1.0000,8.5228
1060000,1.0000,8.8362
1065000,0.8000,10.7472
1070000,1.0000,8.8868
1075000,0.8000,10.5122
1080000,1.0000,8.3454
1085000,1.0000,7.9435
1090000,1.0000,8.8200
1095000,0.6000,6.1904
1100000,1.0000,8.9107
1105000,1.0000,9.1153
1110000,1.0000,9.0378
1115000,1.0000,8.9314
1120000,1.0000,9.1213
1125000,1.0000,8.7241
1130000,1.0000,8.5868
1135000,1.0000,8.5400
1140000,0.6000,11.6967
