frames,reward,dist
5000,0.0000,10.0562
10000,0.0000,12.3744
15000,0.0000,8.2728
20000,0.0000,11.9400
25000,0.0000,12.2319
30000,0.0000,15.8091
35000,0.0000,12.2982
40000,0.0000,15.2072
45000,0.0000,15.7227
50000,0.0000,15.6932
55000,0.0000,14.2795
60000,0.0000,15.7641
65000,0.0000,9.9466
70000,0.0000,15.7967
75000,0.0000,15.7888
80000,0.0000,13.6806
85000,0.0000,15.8085
90000,0.0000,10.0677
95000,0.0000,15.8079
100000,0.0000,15.8105
105000,0.0000,15.8053
110000,0.0000,15.8100
115000,0.0000,15.8091
120000,0.0000,15.8041
125000,0.0000,15.8070
130000,0.0000,15.8095
135000,0.0000,11.4573
140000,0.0000,15.8031
145000,0.0000,15.7934
150000,0.0000,14.4974
155000,0.0000,14.9189
160000,0.0000,15.1435
165000,0.0000,15.7736
170000,0.0000,15.7927
175000,0.0000,15.8336
180000,0.0000,15.2914
185000,0.0000,15.7810
190000,0.0000,8.4718
195000,0.0000,8.2636
200000,0.0000,15.8587
205000,0.0000,10.0519
210000,0.0000,15.8019
215000,0.0000,12.2894
220000,0.0000,14.7123
225000,0.0000,14.1972
230000,0.0000,14.5929
235000,0.0000,15.7696
240000,0.0000,15.7803
245000,0.0000,7.1200
250000,0.0000,14.8628
255000,0.0000,15.1193
260000,0.0000,14.6778
265000,0.0000,15.7887
270000,0.0000,15.4053
275000,0.0000,15.1508
280000,0.0000,10.7978
285000,0.0000,12.0532
290000,0.0000,11.2111
295000,0.0000,11.9777
300000,0.0000,12.3134
305000,0.0000,14.4994
310000,0.0000,10.4073
315000,0.0000,15.2570
320000,0.0000,14.2649
325000,0.0000,9.1747
330000,0.0000,12.6321
335000,0.0000,12.3601
340000,0.0000,12.6622
345000,0.0000,11.0249
350000,0.0000,9.4620
355000,0.0000,11.2863
360000,0.0000,12.4750
365000,0.0000,9.2695
370000,0.0000,12.0862
375000,0.0000,8.2469
380000,0.0000,13.5554
385000,0.0000,12.9219
390000,0.0000,13.4526
395000,0.0000,14.6047
400000,0.0000,12.6126
405000,0.0000,10.8316
410000,0.0000,12.8024
415000,0.0000,11.1700
420000,0.0000,11.9130
425000,0.0000,13.6120
430000,0.0000,14.2881
435000,0.0000,14.3058
440000,0.0000,14.0632
445000,0.0000,14.8493
450000,0.0000,14.6568
455000,0.0000,14.2793
460000,0.0000,14.5096
465000,0.0000,14.6892
470000,0.0000,14.6590
475000,0.0000,14.3458
480000,0.0000,14.2380
485000,0.0000,14.7597
490000,0.0000,14.6374
495000,0.0000,14.5904
500000,0.0000,15.1747
505000,0.0000,15.2019
510000,0.0000,15.1237
515000,0.0000,14.4826
520000,0.0000,14.9464
525000,0.0000,14.8155
530000,0.0000,15.0246
535000,0.0000,14.9185
540000,0.0000,14.4034
545000,0.0000,14.9310
550000,0.0000,14.9255
555000,0.0000,14.7888
560000,0.0000,15.0486
565000,0.0000,14.7937
570000,0.0000,14.7766
575000,0.0000,14.4011
580000,0.0000,14.6979
585000,0.0000,14.5047
590000,0.0000,14.5036
595000,0.0000,12.9378
600000,0.0000,14.2329
605000,0.0000,14.1299
610000,0.0000,13.3808
615000,0.0000,14.2345
620000,0.0000,14.0799
625000,0.0000,14.3869
630000,0.0000,14.5828
635000,0.0000,14.0690
640000,0.0000,13.8301
645000,0.0000,13.7475
650000,0.0000,13.7778
655000,0.0000,14.1651
660000,0.0000,14.2150
665000,0.0000,14.0148
670000,0.0000,14.0188
675000,0.0000,13.8822
680000,0.0000,12.9594
685000,0.0000,13.0131
690000,0.0000,13.2207
695000,0.0000,13.8324
700000,0.0000,13.4301
705000,0.0000,12.1492
710000,0.0000,14.1639
715000,0.0000,14.2488
720000,0.0000,14.1418
725000,0.0000,13.8225
730000,0.0000,13.7872
735000,0.0000,13.6151
740000,0.0000,13.4337
745000,0.0000,14.0129
750000,0.0000,14.2309
755000,0.0000,14.0654
760000,0.0000,14.1660
765000,0.0000,14.1863
770000,0.0000,13.9133
775000,0.0000,14.1184
780000,0.0000,13.8626
785000,0.0000,14.6137
790000,0.0000,14.0413
795000,0.0000,13.8063
800000,0.0000,13.7048
805000,0.0000,14.1791
810000,0.0000,13.8419
815000,0.0000,13.9891
820000,0.0000,13.9580
825000,0.0000,13.4956
830000,0.0000,14.1540
835000,0.0000,13.4167
840000,0.0000,13.4151
845000,0.0000,13.5912
850000,0.0000,14.0223
855000,0.0000,13.9163
860000,0.0000,12.7431
865000,0.0000,13.9295
870000,0.0000,14.0736
875000,0.0000,14.0227
880000,0.0000,14.3456
885000,0.0000,14.2933
890000,0.0000,13.7358
895000,0.0000,14.5066
900000,0.0000,13.5391
905000,0.0000,13.1381
910000,0.0000,13.6879
915000,0.0000,13.1205
920000,0.0000,12.0685
925000,0.0000,12.6909
930000,0.0000,13.5436
935000,0.0000,13.2544
940000,0.0000,13.2914
945000,0.0000,13.8046
950000,0.0000,14.1420
955000,0.0000,13.6605
960000,0.0000,13.4454
965000,0.0000,14.0763
970000,0.0000,14.0796
975000,0.0000,14.0030
980000,0.0000,13.0269
985000,0.0000,14.5990
990000,0.0000,13.7149
995000,0.0000,14.4845
1000000,0.0000,13.2854
1005000,0.0000,13.7788
1010000,0.0000,14.2567
1015000,0.0000,12.8571
1020000,0.0000,14.5361
1025000,0.0000,14.0907
1030000,0.0000,13.4755
1035000,0.0000,14.6067
1040000,0.2000,12.9458
1045000,0.0000,14.2949
1050000,0.0000,13.6137
1055000,0.0000,14.3519
1060000,0.0000,14.2761
1065000,0.0000,14.2526
1070000,0.0000,14.2441
1075000,0.0000,13.5061
1080000,0.0000,14.3016
1085000,0.0000,12.4658
1090000,0.0000,14.0209
1095000,0.0000,14.0602
1100000,0.0000,14.8616
1105000,0.0000,13.3668
1110000,0.0000,14.1549
1115000,0.0000,13.8526
1120000,0.0000,14.2089
1125000,0.0000,14.6525
1130000,0.4000,13.2132
1135000,0.4000,13.4463
1140000,0.4000,14.4893
1145000,0.4000,13.4471
1150000,0.4000,14.2637
1155000,0.2000,13.0522
1160000,0.0000,13.5424
1165000,0.0000,14.0294
1170000,0.0000,14.0938
1175000,0.0000,12.7708
1180000,0.4000,14.5202
1185000,0.2000,14.0530
1190000,0.0000,14.6778
1195000,0.0000,13.5812
1200000,0.4000,12.5534
1205000,0.0000,13.8423
1210000,0.2000,12.5483
1215000,0.2000,13.4996
1220000,0.0000,14.0699
1225000,0.0000,13.1010
1230000,0.0000,13.0630
1235000,0.2000,14.1265
1240000,0.4000,12.5562
1245000,0.0000,13.6292
1250000,0.2000,13.3708
1255000,0.0000,13.4742
1260000,0.0000,13.3156
1265000,0.0000,13.7244
1270000,0.0000,14.2036
1275000,0.0000,14.5527
1280000,0.0000,13.3731
1285000,0.2000,13.9061
1290000,0.2000,12.5748
1295000,0.0000,14.4620
1300000,0.0000,13.6692
1305000,0.0000,13.7765
1310000,0.0000,14.6431
1315000,0.2000,13.4373
1320000,0.0000,13.3994
1325000,0.0000,13.4665
1330000,0.2000,14.0891
1335000,0.0000,13.9314
1340000,0.2000,14.3932
1345000,0.0000,14.3727
1350000,0.0000,13.6614
1355000,0.0000,14.3555
1360000,0.4000,14.6572
1365000,0.0000,14.5664
1370000,0.0000,14.1078
1375000,0.0000,14.3293
1380000,0.0000,13.4027
1385000,0.0000,14.5658
1390000,0.0000,13.7407
1395000,0.4000,14.4231
1400000,0.2000,14.3187
1405000,0.0000,13.9501
1410000,0.4000,13.1358
1415000,0.2000,14.2026
1420000,0.4000,13.6703
1425000,0.0000,13.1319
1430000,0.0000,14.5831
1435000,0.4000,14.2513
1440000,0.2000,13.3293
1445000,0.6000,14.1060
1450000,0.2000,12.5212
1455000,0.2000,12.6896
1460000,0.6000,13.5585
1465000,0.4000,13.8365
1470000,0.4000,14.0103
1475000,0.0000,13.7546
1480000,0.2000,14.4336
1485000,0.0000,14.0578
1490000,0.4000,13.4218
1495000,0.6000,12.9190
1500000,0.2000,13.3195
1505000,0.0000,14.1981
1510000,0.2000,12.4264
1515000,0.2000,12.5551
1520000,0.0000,13.3516
1525000,0.0000,12.9986
1530000,0.0000,12.9609
1535000,0.2000,13.3739
1540000,0.0000,12.6980
1545000,0.0000,14.0190
1550000,0.4000,12.6144
1555000,0.2000,13.1537
1560000,0.4000,13.4136
1565000,0.0000,13.2041
1570000,0.2000,13.4103
1575000,0.2000,12.9437
1580000,0.2000,12.3340
1585000,0.0000,13.9633
1590000,0.2000,12.6690
1595000,0.2000,13.9540
1600000,0.0000,13.1822
1605000,0.2000,12.1945
1610000,0.2000,13.6899
1615000,0.2000,13.4200
1620000,0.0000,11.4123
1625000,0.2000,13.5559
1630000,0.4000,12.1950
1635000,0.4000,13.3967
1640000,0.2000,14.6435
1645000,0.2000,14.0292
1650000,0.0000,13.8202
1655000,0.0000,12.4383
1660000,0.6000,12.8749
1665000,0.8000,13.9617
1670000,0.4000,13.2762
1675000,0.0000,12.9032
1680000,0.2000,12.2805
1685000,0.4000,13.0632
1690000,0.4000,12.3326
1695000,0.6000,13.4632
1700000,0.6000,12.2608
1705000,0.2000,12.9701
1710000,0.4000,13.4050
1715000,0.8000,13.2216
1720000,0.6000,13.1998
1725000,0.2000,13.9778
1730000,1.0000,13.7397
1735000,0.4000,13.4293
1740000,0.4000,13.2439
1745000,0.6000,13.8427
1750000,0.6000,12.6932
1755000,0.6000,14.0296
1760000,0.8000,12.8505
1765000,1.0000,13.7703
1770000,1.0000,13.6019
1775000,0.8000,13.7729
1780000,1.0000,13.6495
1785000,0.6000,13.2235
1790000,0.6000,13.5234
1795000,0.6000,13.5124
1800000,0.8000,13.8809
1805000,1.0000,13.7388
1810000,0.6000,14.2050
1815000,0.6000,13.5634
1820000,0.6000,13.7158
1825000,0.6000,14.0821
1830000,0.8000,14.1707
1835000,0.8000,12.8529
1840000,1.0000,14.0534
1845000,0.8000,13.2986
1850000,0.6000,12.5849
1855000,0.6000,13.7565
1860000,0.4000,11.9933
1865000,0.6000,12.4857
1870000,0.8000,14.1260
1875000,0.8000,13.8821
1880000,0.4000,12.5540
1885000,0.8000,13.8646
1890000,0.6000,14.5018
1895000,0.0000,13.2001
1900000,0.2000,11.9991
1905000,0.8000,13.4919
1910000,0.2000,12.5832
1915000,0.8000,12.7348
1920000,0.4000,13.5898
1925000,0.2000,13.0332
1930000,0.8000,13.6009
1935000,0.4000,13.0151
1940000,0.6000,12.1474
1945000,0.8000,13.1830
1950000,0.6000,12.1537
1955000,0.2000,12.3376
1960000,0.4000,12.8905
1965000,0.0000,12.5220
1970000,0.2000,13.5329
1975000,0.4000,13.7790
1980000,0.4000,13.5892
1985000,0.4000,12.2831
1990000,1.0000,13.4480
1995000,0.6000,12.5107
2000000,0.8000,13.2803
2005000,0.4000,12.5803
2010000,0.6000,14.1624
2015000,0.8000,13.0467
2020000,0.8000,13.8323
2025000,0.6000,12.0694
2030000,0.6000,12.9570
2035000,0.8000,12.7694
2040000,0.4000,12.3379
2045000,0.6000,12.3853
2050000,0.4000,12.6539
2055000,0.6000,12.1394
2060000,1.0000,13.5724
2065000,1.0000,13.6657
2070000,0.6000,13.0312
2075000,0.8000,13.2881
2080000,0.8000,13.6395
2085000,1.0000,13.3366
2090000,0.4000,13.0410
2095000,0.4000,12.7697
2100000,0.6000,13.7331
2105000,0.4000,13.9181
2110000,0.4000,13.2948
2115000,1.0000,13.2435
2120000,0.6000,13.7709
2125000,0.6000,13.7500
2130000,0.2000,12.9720
2135000,0.6000,13.4692
2140000,0.6000,11.5913
2145000,0.8000,13.2252
2150000,0.6000,13.0090
2155000,0.2000,12.8674
2160000,0.6000,12.6571
2165000,0.4000,12.3068
2170000,0.6000,12.7902
2175000,0.8000,12.6295
2180000,0.2000,11.9448
2185000,0.2000,13.2211
2190000,0.8000,12.9020
2195000,0.8000,12.2588
2200000,0.8000,12.1804
2205000,0.4000,10.8242
2210000,0.6000,11.4738
2215000,0.6000,12.7890
2220000,0.6000,12.7157
2225000,1.0000,13.2998
2230000,0.6000,13.3619
2235000,0.6000,13.0569
2240000,0.4000,12.3310
2245000,0.4000,12.4768
2250000,0.6000,13.4126
2255000,0.6000,11.3450
2260000,0.6000,13.3469
2265000,0.4000,11.2856
2270000,0.4000,12.4085
2275000,0.8000,13.5520
2280000,0.4000,11.1617
2285000,0.8000,13.2030
2290000,0.4000,12.9036
2295000,0.6000,12.7955
2300000,0.6000,10.4830
2305000,0.6000,13.0648
2310000,0.6000,13.3538
2315000,0.4000,13.2208
2320000,0.8000,11.7831
2325000,0.8000,13.0112
2330000,0.6000,11.3286
2335000,0.2000,13.3231
2340000,0.8000,12.6902
2345000,0.4000,12.7559
2350000,0.0000,11.2677
