reach_time,algo_time,percentage
0.0001,158.2532,0.0000
0.0001,158.3415,0.0000
0.0002,158.4685,0.0000
0.0002,165.6298,0.0000
0.0002,165.7311,0.0000
0.0002,165.8335,0.0000
0.0002,165.9595,0.0000
0.0003,173.2352,0.0000
0.0003,173.5423,0.0000
0.0003,180.0987,0.0000
0.0003,180.1943,0.0000
0.0003,180.3597,0.0000
0.0003,188.5259,0.0000
0.0004,188.7525,0.0000
0.0004,199.0026,0.0000
0.0004,199.3110,0.0000
0.0004,206.9127,0.0000
0.0004,207.0088,0.0000
0.0005,214.2532,0.0000
0.0005,214.3487,0.0000
0.0005,214.4399,0.0000
0.0005,221.1366,0.0000
0.0005,228.2160,0.0000
0.0006,228.3341,0.0000
0.0006,228.4423,0.0000
0.0006,228.5881,0.0000
0.0006,238.0042,0.0000
0.0006,238.3479,0.0000
0.0007,245.7431,0.0000
0.0007,245.8354,0.0000
0.0007,253.6686,0.0000
0.0007,253.7712,0.0000
0.0007,253.8631,0.0000
0.0008,261.3920,0.0000
0.0008,261.6887,0.0000
0.0008,261.8143,0.0000
0.0008,269.2115,0.0000
0.0008,269.4699,0.0000
0.0009,279.5926,0.0000
0.0009,279.7012,0.0000
0.0009,279.8027,0.0000
0.0009,279.9012,0.0000
0.0009,287.3669,0.0000
0.0010,287.4782,0.0000
0.0010,287.6786,0.0000
0.0010,294.5675,0.0000
0.0010,294.7379,0.0000
0.0010,301.8769,0.0000
0.0011,301.9867,0.0000
0.0011,302.2114,0.0000
0.0011,309.7873,0.0000
0.0011,309.9746,0.0000
0.0011,310.1660,0.0000
0.0012,310.3298,0.0000
0.0012,319.6148,0.0000
0.0012,327.0703,0.0000
0.0012,335.0981,0.0000
0.0012,335.2111,0.0000
0.0013,343.0455,0.0000
0.0013,343.3732,0.0000
0.0013,350.9846,0.0000
0.0013,351.1008,0.0000
0.0013,351.2056,0.0000
0.0013,361.0289,0.0000
0.0014,368.5921,0.0000
0.0014,368.6995,0.0000
0.0014,368.8109,0.0000
0.0014,376.8716,0.0000
0.0014,384.3205,0.0000
0.0014,392.4499,0.0000
0.0015,402.3752,0.0000
0.0015,402.5078,0.0000
0.0015,402.7459,0.0000
0.0015,409.5024,0.0000
0.0016,409.6634,0.0000
0.0016,409.8878,0.0000
0.0016,417.7789,0.0000
0.0016,417.9194,0.0000
0.0016,425.0222,0.0000
0.0016,425.1343,0.0000
0.0017,433.3126,0.0000
0.0017,433.4627,0.0000
0.0017,444.0656,0.0000
0.0017,444.1811,0.0000
0.0017,452.0649,0.0000
0.0018,452.1810,0.0000
0.0018,460.5725,0.0000
0.0018,467.8744,0.0000
0.0018,467.9984,0.0000
0.0018,468.1126,0.0000
0.0018,468.2322,0.0000
0.0019,476.0464,0.0000
0.0019,485.8415,0.0000
0.0019,486.2222,0.0000
0.0019,486.4008,0.0000
0.0019,494.9172,0.0000
0.0020,502.7882,0.0000
0.0020,503.0382,0.0000
0.0020,510.5255,0.0000
0.0020,510.6811,0.0000
0.0020,510.8808,0.0000
0.0021,517.4996,0.0000
0.0021,517.7582,0.0000
0.0021,517.8816,0.0000
0.0021,527.9023,0.0000
0.0021,528.0268,0.0000
0.0022,535.8455,0.0000
0.0022,535.9983,0.0000
0.0022,543.8736,0.0000
0.0022,544.1244,0.0000
0.0022,551.6334,0.0000
0.0022,551.8798,0.0000
0.0023,558.7975,0.0000
0.0023,569.6559,0.0000
0.0023,569.9212,0.0000
0.0023,577.7143,0.0000
0.0023,577.9802,0.0000
0.0023,584.8326,0.0000
0.0024,585.1063,0.0000
0.0024,585.2381,0.0000
0.0024,591.8096,0.0000
0.0024,600.3067,0.0000
0.0024,600.5709,0.0000
0.0025,610.8961,0.0000
0.0025,611.1769,0.0000
0.0025,611.3113,0.0000
0.0025,619.0478,0.0000
0.0025,626.1923,0.0000
0.0026,626.5991,0.0000
0.0026,634.5130,0.0000
0.0026,642.0024,0.0000
0.0026,652.4128,0.0000
0.0026,652.8589,0.0000
0.0026,660.6561,0.0000
0.0027,660.7893,0.0000
0.0027,661.0588,0.0000
0.0027,668.1346,0.0000
0.0027,668.2761,0.0000
0.0027,668.5260,0.0000
0.0028,677.0268,0.0000
0.0028,677.1701,0.0000
0.0028,677.4492,0.0000
0.0028,685.7064,0.0000
0.0028,695.8061,0.0000
0.0028,695.9442,0.0000
0.0029,696.2200,0.0000
0.0029,703.8042,0.0000
0.0029,703.9849,0.0000
0.0029,712.0050,0.0000
0.0029,712.1507,0.0000
0.0030,720.9984,0.0000
0.0030,721.1469,0.0000
0.0030,728.6175,0.0000
0.0030,728.7986,0.0000
0.0030,728.9858,0.0000
0.0031,738.0557,0.0000
0.0031,738.5694,0.0000
0.0031,746.1448,0.0000
0.0031,753.9018,0.0000
0.0031,754.0559,0.0000
0.0032,754.2068,0.0000
0.0032,762.1987,0.0000
0.0032,769.8700,0.0000
0.0032,780.6437,0.0000
0.0032,780.7943,0.0000
0.0032,780.9465,0.0000
0.0033,781.0970,0.0000
0.0033,788.5384,0.0000
0.0033,788.8446,0.0000
0.0033,795.9705,0.0000
0.0033,796.2769,0.0000
0.0034,803.3176,0.0000
0.0034,803.4799,0.0000
0.0034,803.6482,0.0000
0.0034,803.9652,0.0000
0.0034,810.7979,0.0000
0.0034,820.6982,0.0000
0.0035,820.8510,0.0000
0.0035,821.2010,0.0000
0.0035,828.7344,0.0000
0.0035,836.5562,0.0000
0.0035,836.9650,0.0000
0.0036,837.2308,0.0000
0.0036,844.9221,0.0000
0.0036,853.1555,0.0000
0.0036,853.5177,0.0000
0.0036,853.9556,0.0000
0.0037,864.5027,0.0000
0.0037,872.2852,0.0000
0.0037,872.4503,0.0000
0.0037,872.6094,0.0000
0.0037,872.7696,0.0000
0.0038,880.5666,0.0000
0.0038,887.4383,0.0000
0.0038,887.7537,0.0000
0.0038,895.5481,0.0000
0.0038,895.7116,0.0000
0.0039,895.8755,0.0000
0.0039,906.3343,0.0000
0.0039,914.8216,0.0000
0.0039,914.9839,0.0000
0.0039,915.1482,0.0000
0.0039,922.4781,0.0000
0.0040,922.6558,0.0000
0.0040,931.1158,0.0000
0.0040,939.0413,0.0000
0.0040,939.4620,0.0000
0.0040,949.6285,0.0000
0.0041,950.1160,0.0000
0.0041,965.6361,0.0000
0.0041,965.9057,0.0000
0.0041,974.5029,0.0000
0.0041,975.0094,0.0000
0.0041,992.5356,0.0000
0.0042,992.7037,0.0000
0.0042,993.1051,0.0000
0.0042,993.2382,0.0000
0.0042,1000.8515,0.0000
0.0042,1001.0241,0.0000
0.0043,1001.3656,0.0000
0.0043,1001.6896,0.0000
0.0043,1008.9449,0.0000
0.0043,1018.0019,0.0000
0.0043,1018.1790,0.0000
0.0043,1026.5222,0.0000
0.0044,1037.4863,0.0000
0.0044,1037.6595,0.0000
0.0044,1037.8339,0.0000
0.0044,1037.9704,0.0000
0.0044,1045.9372,0.0000
0.0044,1046.2225,0.0000
0.0045,1046.3603,0.0000
0.0045,1053.8952,0.0000
0.0045,1054.1586,0.0000
0.0045,1054.4503,0.0000
0.0045,1054.6520,0.0000
0.0046,1062.3159,0.0000
0.0046,1070.4169,0.0000
0.0046,1070.7386,0.0000
0.0046,1081.4140,0.0000
0.0046,1090.2087,0.0000
0.0047,1090.8781,0.0000
0.0047,1098.5650,0.0000
0.0047,1098.7488,0.0000
0.0047,1099.1148,0.0000
0.0047,1105.6629,0.0000
0.0047,1106.4297,0.0000
0.0048,1114.8449,0.0000
0.0048,1125.5080,0.0000
0.0048,1126.3202,0.0000
0.0048,1133.6023,0.0000
0.0048,1133.7867,0.0000
0.0048,1134.1636,0.0000
0.0049,1141.5181,0.0000
0.0049,1141.7835,0.0000
0.0049,1157.2558,0.0000
0.0049,1157.7505,0.0000
0.0049,1168.1320,0.0000
0.0050,1168.3505,0.0000
0.0050,1168.8610,0.0000
0.0050,1176.0308,0.0000
0.0050,1176.5965,0.0000
0.0050,1184.8161,0.0000
0.0051,1192.2468,0.0000
0.0051,1192.3913,0.0000
0.0051,1192.6833,0.0000
0.0051,1200.5380,0.0000
0.0051,1201.1278,0.0000
0.0051,1201.5988,0.0000
0.0052,1201.7622,0.0000
0.0052,1201.9555,0.0000
0.0052,1211.1284,0.0000
0.0052,1211.3175,0.0000
0.0052,1211.6990,0.0000
0.0053,1219.9196,0.0000
0.0053,1220.1278,0.0000
0.0053,1228.3311,0.0000
0.0053,1228.5193,0.0000
0.0053,1228.9022,0.0000
0.0053,1236.5965,0.0000
0.0054,1236.7907,0.0000
0.0054,1236.9411,0.0000
0.0054,1237.6693,0.0000
0.0054,1245.8557,0.0000
0.0054,1246.0459,0.0000
0.0055,1256.5345,0.0000
0.0055,1256.8149,0.0000
0.0055,1257.1590,0.0000
0.0055,1257.5341,0.0000
0.0055,1265.2636,0.0000
0.0056,1265.4578,0.0000
0.0056,1265.6541,0.0000
0.0056,1265.8494,0.0000
0.0056,1273.2202,0.0000
0.0056,1273.6568,0.0000
0.0056,1281.6058,0.0000
0.0057,1282.3687,0.0000
0.0057,1282.5634,0.0000
0.0057,1289.5254,0.0000
0.0057,1289.9246,0.0000
0.0057,1290.2316,0.0000
0.0058,1290.3844,0.0000
0.0058,1290.5457,0.0000
0.0058,1300.1136,0.0000
0.0058,1300.2703,0.0000
0.0058,1300.5536,0.0000
0.0059,1309.0814,0.0000
0.0059,1309.4791,0.0000
0.0059,1318.1542,0.0000
0.0059,1318.3454,0.0000
0.0059,1325.7770,0.0000
0.0059,1333.5544,0.0000
0.0060,1334.3138,0.0000
0.0060,1345.3244,0.0000
0.0060,1345.6592,0.0000
0.0060,1345.8639,0.0000
0.0060,1353.6528,0.0000
0.0061,1353.8490,0.0000
0.0061,1354.6872,0.0000
0.0061,1362.3675,0.0000
0.0061,1362.5699,0.0000
0.0061,1362.7687,0.0000
0.0062,1362.9650,0.0000
0.0062,1371.6187,0.0000
0.0062,1379.3693,0.0000
0.0062,1379.5749,0.0000
0.0062,1379.7828,0.0000
0.0063,1380.0308,0.0000
0.0063,1380.2394,0.0000
0.0063,1380.4451,0.0000
0.0063,1391.2493,0.0000
0.0063,1391.4483,0.0000
0.0064,1399.0512,0.0000
0.0064,1399.3374,0.0000
0.0064,1399.9165,0.0000
0.0064,1400.0773,0.0000
0.0064,1407.6589,0.0000
0.0064,1415.4793,0.0000
0.0065,1415.6938,0.0000
