reach_time,algo_time,percentage
2.1633,247.6406,0.0087
5.2163,505.7842,0.0103
26.8964,788.0528,0.0341
63.4067,1089.0969,0.0582
104.2343,1392.2773,0.0749
149.1796,1701.3278,0.0877
196.5302,2015.8002,0.0975
245.6583,2333.0572,0.1053
296.7379,2649.4165,0.1120
349.2061,2965.7595,0.1177
404.3295,3285.9596,0.1230
462.2615,3608.0382,0.1281
524.1886,3934.9819,0.1332
587.4312,4263.8853,0.1378
651.0703,4594.7887,0.1417
716.2466,4925.1065,0.1454
781.7545,5257.8945,0.1487
847.9182,5590.1032,0.1517
914.8375,5924.0462,0.1544
981.8592,6259.2876,0.1569
1050.0297,6594.2147,0.1592
1118.3196,6930.1277,0.1614
1187.8510,7263.8171,0.1635
1256.6458,7599.1661,0.1654
1326.4480,7934.9534,0.1672
1397.3308,8270.6425,0.1690
1467.1552,8609.3357,0.1704
1538.0118,8945.7580,0.1719
1608.6159,9279.3657,0.1734
1678.7864,9615.8550,0.1746
1749.5742,9951.4385,0.1758
1822.2143,10288.7487,0.1771
1894.8155,10628.1112,0.1783
1967.8848,10970.8923,0.1794
2042.2055,11310.0980,0.1806
2116.1483,11646.1476,0.1817
2190.7354,11982.9163,0.1828
2265.2655,12320.3958,0.1839
2340.5817,12662.2990,0.1848
2415.0530,13001.1325,0.1858
2489.7482,13341.4723,0.1866
2564.4292,13682.7340,0.1874
2640.1675,14022.1321,0.1883
2715.3915,14365.4070,0.1890
2790.7065,14709.2259,0.1897
2866.9721,15055.1533,0.1904
2942.4352,15403.1155,0.1910
3018.0594,15751.0807,0.1916
3094.0566,16098.3318,0.1922
3170.2541,16443.8832,0.1928
3246.5173,16790.2379,0.1934
3323.0555,17138.3479,0.1939
3399.7856,17484.2059,0.1944
3476.4159,17829.1530,0.1950
3552.5378,18176.5238,0.1954
3628.7736,18518.1964,0.1960
3705.9080,18865.6861,0.1964
3782.5373,19212.4816,0.1969
3859.7859,19558.2255,0.1973
3937.1828,19910.2352,0.1977
4014.6139,20256.9484,0.1982
4091.7479,20606.9501,0.1986
4169.8224,20956.4682,0.1990
4247.6189,21308.0768,0.1993
4326.4715,21657.4962,0.1998
4405.7221,22008.0275,0.2002
4485.0025,22359.4466,0.2006
4563.6699,22707.3558,0.2010
4642.8885,23055.0432,0.2014
4722.3794,23402.3541,0.2018
4801.8562,23753.6475,0.2022
4880.9449,24102.1542,0.2025
4960.8416,24455.4822,0.2029
5040.8128,24802.2449,0.2032
5120.5560,25151.6565,0.2036
5201.1248,25501.0185,0.2040
5281.1745,25854.2585,0.2043
5361.4426,26206.7287,0.2046
5441.8233,26560.0707,0.2049
5522.2118,26913.8996,0.2052
5602.5134,27266.9258,0.2055
5682.8502,27617.2599,0.2058
5763.7057,27969.0440,0.2061
5844.8055,28323.1894,0.2064
5925.5296,28673.7401,0.2067
6006.9904,29028.0763,0.2069
6089.5265,29382.1599,0.2073
6172.6987,29737.7555,0.2076
6256.2866,30091.6898,0.2079
6339.9722,30449.3973,0.2082
6423.7235,30806.2321,0.2085
6507.8294,31161.8083,0.2088
6592.9837,31519.9025,0.2092
6679.1724,31876.4706,0.2095
6765.6507,32233.2998,0.2099
6852.4634,32592.0845,0.2102
6939.4316,32948.5772,0.2106
7026.2021,33311.3226,0.2109
7113.1296,33669.5186,0.2113
7200.0571,33669.5813,0.2138
