reach_time,algo_time,percentage
2.3666,340.4956,0.0070
12.7601,703.4283,0.0181
24.4476,1065.4942,0.0229
43.3835,1437.6779,0.0302
79.1811,1826.4149,0.0434
132.2645,2238.5153,0.0591
207.6858,2670.9660,0.0778
314.5530,3136.1151,0.1003
445.8587,3628.0932,0.1229
609.8355,4154.6993,0.1468
817.2658,4715.3591,0.1733
1066.6280,5321.3781,0.2004
1368.6024,5980.7693,0.2288
1716.9414,6687.0063,0.2568
2120.4384,7449.5985,0.2846
2602.6158,8286.8586,0.3141
3125.8663,9171.4303,0.3408
3736.1064,10135.8741,0.3686
4419.0552,11177.3179,0.3954
5149.4630,12263.9258,0.4199
5983.4400,13457.2212,0.4446
6854.5980,14682.7291,0.4668
7771.0786,15952.3651,0.4871
8738.4560,17277.9386,0.5058
9755.7098,18651.1896,0.5231
10833.7461,20093.1071,0.5392
11973.6922,21592.9176,0.5545
13179.4365,23156.4264,0.5691
14445.9493,24776.6065,0.5830
15780.1792,26468.3900,0.5962
17187.4171,28236.1075,0.6087
18662.7199,30069.6352,0.6207
20170.6453,31935.0992,0.6316
21711.4148,33833.2945,0.6417
23316.0125,35796.1132,0.6514
24946.1219,37792.6713,0.6601
26618.1941,39827.3905,0.6683
28311.4030,41880.3037,0.6760
30084.2939,44013.9860,0.6835
31887.6009,46177.4026,0.6905
33731.9004,48383.7096,0.6972
35601.8386,50625.0867,0.7032
37511.9480,52890.8511,0.7092
39439.6430,55188.7775,0.7146
41383.8700,57492.0868,0.7198
43331.1822,59805.8950,0.7245
45303.3133,62139.5183,0.7291
47290.5120,64488.7965,0.7333
49360.0982,66921.6618,0.7376
51458.1405,69384.0717,0.7416
53607.0683,71891.9178,0.7457
55842.6676,74489.6298,0.7497
58149.6623,77159.7226,0.7536
60513.4826,79883.2010,0.7575
62907.6202,82642.9638,0.7612
65343.7393,85442.3406,0.7648
67835.4306,88296.7914,0.7683
70445.1637,91264.7342,0.7719
73078.0843,94290.2931,0.7750
75735.9781,97309.7201,0.7783
78384.9627,100323.6177,0.7813
81061.1003,103363.4816,0.7842
83806.3138,106463.8444,0.7872
86639.5130,109660.0856,0.7901
89509.6592,112891.7912,0.7929
92434.5586,116171.0387,0.7957
95398.4106,119494.8772,0.7983
98400.1387,122855.9209,0.8009
101418.0633,126233.8669,0.8034
104497.0122,129670.3206,0.8059
107625.2577,133162.4022,0.8082
110804.1245,136699.5563,0.8106
113976.3694,140232.7764,0.8128
117174.7596,143786.9282,0.8149
120465.7885,147440.4584,0.8170
123826.9413,151156.0569,0.8192
127265.5648,154955.2562,0.8213
130790.9628,158843.6876,0.8234
134353.2550,162768.5705,0.8254
137977.9783,166751.3824,0.8274
141673.1000,170802.7189,0.8295
145270.3813,174758.8417,0.8313
147346.9624,177089.8971,0.8320
149471.3310,179472.8066,0.8328
151600.8579,181856.3336,0.8336
153761.6351,184273.1986,0.8344
155948.5303,186718.1041,0.8352
158159.6614,189186.8534,0.8360
160387.9873,191670.5070,0.8368
162665.2790,194205.4289,0.8376
164971.2000,196773.7362,0.8384
167295.5289,199357.3125,0.8392
169624.9940,201943.9459,0.8400
171968.2043,204542.3087,0.8407
174308.8740,207137.1563,0.8415
176646.0792,209728.7766,0.8423
179014.6372,212354.7472,0.8430
181419.6578,215018.1678,0.8437
183834.6550,217693.0220,0.8445
186249.6523,217693.1500,0.8556
