reach_time,algo_time,percentage
0.0001,97.2090,0.0000
0.0001,97.2759,0.0000
0.0001,97.3417,0.0000
0.0001,101.5723,0.0000
0.0002,101.7059,0.0000
0.0002,105.9657,0.0000
0.0002,106.0679,0.0000
0.0002,106.1387,0.0000
0.0002,110.4738,0.0000
0.0002,110.5728,0.0000
0.0003,110.7389,0.0000
0.0003,116.1663,0.0000
0.0003,116.3328,0.0000
0.0003,120.9015,0.0000
0.0003,120.9741,0.0000
0.0003,121.0483,0.0000
0.0004,125.6867,0.0000
0.0004,130.1603,0.0000
0.0004,130.4035,0.0000
0.0004,134.6554,0.0000
0.0004,134.7539,0.0000
0.0004,134.8292,0.0000
0.0005,134.9023,0.0000
0.0005,140.1491,0.0000
0.0005,140.2475,0.0000
0.0005,140.3262,0.0000
0.0005,140.4041,0.0000
0.0005,144.5296,0.0000
0.0006,144.6080,0.0000
0.0006,148.6402,0.0000
0.0006,148.8989,0.0000
0.0006,153.5891,0.0000
0.0006,157.8163,0.0000
0.0006,157.9128,0.0000
0.0007,163.1744,0.0000
0.0007,163.2720,0.0000
0.0007,163.3530,0.0000
0.0007,163.4383,0.0000
0.0007,167.3904,0.0000
0.0007,167.4902,0.0000
0.0008,171.8164,0.0000
0.0008,171.8999,0.0000
0.0008,176.2626,0.0000
0.0008,181.2014,0.0000
0.0008,186.5166,0.0000
0.0008,186.6151,0.0000
0.0009,186.7928,0.0000
0.0009,193.7984,0.0000
0.0009,193.8907,0.0000
0.0009,200.7233,0.0000
0.0009,200.8306,0.0000
0.0009,207.7159,0.0000
0.0010,207.8111,0.0000
0.0010,214.9096,0.0000
0.0010,222.4139,0.0000
0.0010,222.6822,0.0000
0.0010,222.7956,0.0000
0.0011,229.7117,0.0000
0.0011,229.8078,0.0000
0.0011,237.0441,0.0000
0.0011,237.1682,0.0000
0.0011,237.2646,0.0000
0.0011,244.1077,0.0000
0.0012,244.4097,0.0000
0.0012,250.6288,0.0000
0.0012,250.7277,0.0000
0.0012,250.8275,0.0000
0.0012,259.3219,0.0000
0.0012,266.5376,0.0000
0.0013,266.7115,0.0000
0.0013,266.8323,0.0000
0.0013,274.0634,0.0000
0.0013,274.2988,0.0000
0.0013,274.4016,0.0000
0.0013,280.6537,0.0000
0.0014,280.7524,0.0000
0.0014,280.8526,0.0000
0.0014,287.7010,0.0000
