reach_time,algo_time,percentage
1.8605,329.9274,0.0056
3.7966,670.1435,0.0057
10.3452,1002.0053,0.0103
23.4041,1342.9085,0.0174
39.6914,1682.0043,0.0236
58.1987,2026.0946,0.0287
81.3591,2376.5359,0.0342
112.7931,2751.3777,0.0410
147.1204,3116.4522,0.0472
182.1415,3477.4783,0.0524
219.0778,3841.3159,0.0570
260.3405,4209.3022,0.0618
304.1547,4579.5638,0.0664
347.9890,4956.1641,0.0702
392.9737,5343.7735,0.0735
439.6953,5717.1522,0.0769
487.6977,6092.8752,0.0800
537.9689,6468.8927,0.0832
590.6191,6846.3814,0.0863
644.4109,7229.0047,0.0891
699.3685,7633.4582,0.0916
755.1718,8005.6930,0.0943
811.9988,8383.9603,0.0969
868.7768,8758.1853,0.0992
926.6999,9134.5219,0.1015
988.4914,9513.2062,0.1039
1052.5426,9916.1279,0.1061
1117.9870,10303.2173,0.1085
1185.1311,10687.8511,0.1109
1253.2371,11074.0898,0.1132
1321.6420,11459.3487,0.1153
1390.1067,11842.7980,0.1174
1459.3292,12232.9307,0.1193
1529.7250,12637.4280,0.1210
1600.0963,13025.7510,0.1228
1670.8145,13413.7266,0.1246
1741.5369,13799.7322,0.1262
1813.0772,14186.5675,0.1278
1885.0278,14575.4005,0.1293
1948.5014,14989.5000,0.1300
2021.7011,15377.5892,0.1315
2095.1663,15771.0694,0.1328
2168.7379,16161.0786,0.1342
2243.1624,16552.0018,0.1355
2316.8902,16945.4557,0.1367
2393.2502,17343.9436,0.1380
2469.2031,17755.9141,0.1391
2546.1901,18154.8906,0.1402
2623.5848,18554.1611,0.1414
2702.9458,18951.8346,0.1426
2782.6298,19347.6624,0.1438
2862.8825,19749.3465,0.1450
2942.3283,20172.8452,0.1459
3022.8002,20574.1294,0.1469
3104.0836,20975.3848,0.1480
3185.4336,21375.2312,0.1490
3267.6546,21776.5594,0.1501
3349.4156,22176.7863,0.1510
3431.8607,22576.3954,0.1520
3507.2124,23004.0297,0.1525
3589.4729,23405.6503,0.1534
3671.8598,23807.9206,0.1542
3754.7797,24209.1450,0.1551
3837.3972,24611.2496,0.1559
3919.6563,25012.0831,0.1567
4000.9564,25414.2077,0.1574
4083.8278,25843.2843,0.1580
4166.8691,26245.9414,0.1588
4249.7998,26648.7855,0.1595
4332.7336,27049.4574,0.1602
4416.0785,27452.8462,0.1609
4499.5999,27855.4299,0.1615
4581.5040,28263.5501,0.1621
4664.2343,28686.5745,0.1626
4747.8186,29091.1852,0.1632
4831.0583,29495.2508,0.1638
4913.9943,29897.5476,0.1644
4997.0391,30303.3967,0.1649
5080.0704,30705.9555,0.1654
5164.2317,31113.9872,0.1660
5248.0868,31537.1690,0.1664
5332.0239,31938.7813,0.1669
5416.1352,32343.9040,0.1675
5499.9440,32748.5647,0.1679
5583.8267,33151.3802,0.1684
5675.3905,33560.8863,0.1691
5759.3117,34000.1308,0.1694
5844.3354,34480.0699,0.1695
5929.0129,34886.2200,0.1700
6014.7920,35293.2511,0.1704
6099.9321,35699.7198,0.1709
6185.2872,36110.4312,0.1713
6270.3105,36520.5225,0.1717
6354.5315,36927.2525,0.1721
6436.6397,37358.3213,0.1723
6522.4735,37762.7476,0.1727
6607.2169,38168.9587,0.1731
6691.6287,38571.7850,0.1735
6775.7467,38975.3500,0.1738
6859.8648,38974.9214,0.1760
